,id_dite,jmeno,pohlavi,datum_narozeni,spadova_skolka,skolka_sourozence,bydliste_brno,prodlouzena_dochazka
121,121,Jiří Svoboda,M,2018-05-19,10,,True,False
122,122,Jiří Novotný,M,2019-06-24,13,,True,False
123,123,Jiří Dvořák,M,2019-11-16,18,123.0,True,False
124,124,Jiří Černý,M,2017-06-05,62,,True,False
125,125,Jiří Procházka,M,2017-08-11,119,,True,False
126,126,Jiří Kovařík,M,2021-05-19,106,,False,False
127,127,Jiří Veselý,M,2019-08-31,39,,True,False
128,128,Jiří Horák,M,2019-04-30,116,,True,False
129,129,Jiří Němec,M,2019-04-24,93,,True,False
130,130,Jiří Pospíšil,M,2020-12-10,61,,True,False
131,131,Jiří Marek,M,2017-04-07,129,,True,False
132,132,Jiří Urban,M,2017-08-07,48,,True,False
133,133,Jiří Soukup,M,2020-04-08,128,11.0,True,False
134,134,Jiří Hájek,M,2021-08-11,69,,True,False
135,135,Jiří Fiala,M,2021-02-02,56,,True,False
136,136,Jiří Král,M,2016-07-18,41,,True,False
137,137,Jiří Růžička,M,2018-12-24,90,,True,False
138,138,Jiří Beneš,M,2020-11-30,19,,True,False
139,139,Jiří Bílý,M,2018-03-02,54,,True,False
140,140,Jiří Šimek,M,2017-02-14,38,,True,False
141,141,Jiří Svatoš,M,2019-11-03,74,,True,False
142,142,Jiří Mareš,M,2018-05-29,24,,True,False
143,143,Jiří Mach,M,2019-03-30,124,,True,False
144,144,Jiří Vávra,M,2021-08-11,19,,True,False
145,145,Jiří Tomáš,M,2021-03-16,77,,False,False
146,146,Jiří Toman,M,2020-06-08,91,,True,False
147,147,Jiří Konečný,M,2019-11-09,112,,True,False
148,148,Jiří Vlček,M,2019-12-15,117,,True,False
149,149,Jiří Kratochvíl,M,2017-07-28,132,,True,False
150,150,Jiří Kadlec,M,2021-07-12,93,,True,False
151,151,Jiří Kříž,M,2020-07-27,94,,True,False
152,152,Jiří Horváth,M,2018-05-08,45,,True,False
153,153,Jiří Polák,M,2016-11-14,72,,True,False
154,154,Jiří Janda,M,2018-08-12,40,,True,False
155,155,Jiří Dušek,M,2016-12-11,108,,True,False
156,156,Jiří Macháček,M,2019-10-15,20,,True,False
157,157,Jiří Navrátil,M,2021-07-08,36,,True,False
158,158,Jiří Staněk,M,2017-05-16,133,,True,False
159,159,Jiří Pekař,M,2017-02-19,85,,True,False
160,160,Martin Novák,M,2017-02-24,18,,True,False
161,161,Martin Svoboda,M,2017-12-04,89,,True,False
162,162,Martin Novotný,M,2021-03-01,118,,True,False
163,163,Martin Dvořák,M,2021-08-10,28,,True,False
164,164,Martin Černý,M,2017-07-04,41,,True,False
165,165,Martin Procházka,M,2020-07-08,99,,True,False
166,166,Martin Kovařík,M,2021-05-01,120,,True,False
167,167,Martin Veselý,M,2017-04-24,45,,True,False
168,168,Martin Horák,M,2018-05-22,123,,True,False
169,169,Martin Němec,M,2020-08-18,91,,False,False
170,170,Martin Pospíšil,M,2018-04-30,130,,True,False
171,171,Martin Marek,M,2019-05-29,44,,True,False
172,172,Martin Urban,M,2017-01-30,122,,True,False
173,173,Martin Soukup,M,2016-07-15,87,,True,False
174,174,Martin Hájek,M,2019-06-04,12,,True,False
175,175,Martin Fiala,M,2018-09-15,132,,True,False
176,176,Martin Král,M,2016-06-25,60,,True,False
177,177,Martin Růžička,M,2019-08-01,115,,True,False
178,178,Martin Beneš,M,2016-10-04,40,,True,False
179,179,Martin Bílý,M,2020-03-17,132,,True,False
180,180,Martin Šimek,M,2020-10-26,45,,True,False
181,181,Martin Svatoš,M,2020-10-29,32,,False,False
182,182,Martin Mareš,M,2018-09-14,24,,True,False
183,183,Martin Mach,M,2017-06-19,129,,True,False
184,184,Martin Vávra,M,2020-07-31,23,,True,False
185,185,Martin Tomáš,M,2019-05-07,134,,True,False
186,186,Martin Toman,M,2019-12-02,80,,True,False
187,187,Martin Konečný,M,2019-01-17,17,,True,False
188,188,Martin Vlček,M,2017-12-02,100,,True,False
189,189,Martin Kratochvíl,M,2017-01-04,31,,True,False
190,190,Martin Kadlec,M,2017-09-03,121,,True,False
191,191,Martin Kříž,M,2017-05-03,2,,True,False
192,192,Martin Horváth,M,2020-01-14,96,,True,False
193,193,Martin Polák,M,2017-12-04,22,,True,False
194,194,Martin Janda,M,2021-01-18,84,,True,False
195,195,Martin Dušek,M,2018-01-27,84,,False,False
196,196,Martin Macháček,M,2018-03-06,24,,True,False
197,197,Martin Navrátil,M,2021-06-17,118,,True,False
198,198,Martin Staněk,M,2020-10-13,31,,True,False
199,199,Martin Pekař,M,2016-07-02,109,,True,False
200,200,Michal Novák,M,2017-05-13,37,,True,False
201,201,Michal Svoboda,M,2019-05-09,3,,True,False
202,202,Michal Novotný,M,2017-03-29,62,,True,False
203,203,Michal Dvořák,M,2019-09-30,78,,True,False
204,204,Michal Černý,M,2020-07-07,130,,True,True
205,205,Michal Procházka,M,2017-08-30,40,,True,False
206,206,Michal Kovařík,M,2018-10-14,36,,True,False
207,207,Michal Veselý,M,2017-09-13,50,,True,False
208,208,Michal Horák,M,2017-04-23,21,,True,False
209,209,Michal Němec,M,2019-10-17,84,,True,False
210,210,Michal Pospíšil,M,2020-12-19,115,,True,False
211,211,Michal Marek,M,2018-08-14,16,,True,False
212,212,Michal Urban,M,2016-08-20,85,,True,False
213,213,Michal Soukup,M,2021-08-23,73,,False,False
214,214,Michal Hájek,M,2019-08-18,42,,True,False
215,215,Michal Fiala,M,2020-08-27,35,,True,False
216,216,Michal Král,M,2017-02-26,4,,True,False
217,217,Michal Růžička,M,2020-11-11,98,,True,False
218,218,Michal Beneš,M,2020-12-04,67,,True,False
219,219,Michal Bílý,M,2021-06-14,37,,False,False
220,220,Michal Šimek,M,2019-09-23,105,,True,False
221,221,Michal Svatoš,M,2016-09-04,118,,True,False
222,222,Michal Mareš,M,2018-06-28,29,,True,False
223,223,Michal Mach,M,2019-03-29,107,,True,False
224,224,Michal Vávra,M,2020-01-02,110,,True,False
225,225,Michal Tomáš,M,2017-03-27,78,,True,False
226,226,Michal Toman,M,2019-02-27,62,,True,False
227,227,Michal Konečný,M,2017-10-07,26,,True,False
228,228,Michal Vlček,M,2019-06-12,60,,True,True
229,229,Michal Kratochvíl,M,2016-10-11,94,,True,False
230,230,Michal Kadlec,M,2020-06-02,107,,True,False
231,231,Michal Kříž,M,2018-10-01,33,,True,False
232,232,Michal Horváth,M,2017-07-31,76,,True,False
233,233,Michal Polák,M,2016-08-23,115,,True,False
234,234,Michal Janda,M,2018-05-19,59,,True,False
235,235,Michal Dušek,M,2019-11-27,78,,True,False
236,236,Michal Macháček,M,2017-04-23,120,,True,False
237,237,Michal Navrátil,M,2017-10-12,15,,True,True
238,238,Michal Staněk,M,2016-08-15,120,,True,False
239,239,Michal Pekař,M,2018-07-11,51,,True,False
240,240,Pavel Novák,M,2021-05-20,27,,True,False
241,241,Pavel Svoboda,M,2016-10-15,107,,True,False
242,242,Pavel Novotný,M,2017-04-18,113,,True,False
243,243,Pavel Dvořák,M,2019-12-10,30,,True,False
244,244,Pavel Černý,M,2020-05-05,128,,True,False
245,245,Pavel Procházka,M,2017-02-26,134,,True,False
246,246,Pavel Kovařík,M,2019-12-23,46,,True,False
247,247,Pavel Veselý,M,2017-12-02,23,,True,False
248,248,Pavel Horák,M,2021-04-01,11,,True,False
249,249,Pavel Němec,M,2017-02-28,22,,True,False
250,250,Pavel Pospíšil,M,2020-08-28,71,,True,False
251,251,Pavel Marek,M,2020-10-26,8,,True,False
252,252,Pavel Urban,M,2019-07-05,0,,True,True
253,253,Pavel Soukup,M,2018-07-19,92,,True,False
254,254,Pavel Hájek,M,2020-01-12,129,,True,False
255,255,Pavel Fiala,M,2020-09-08,42,,True,False
256,256,Pavel Král,M,2018-08-05,65,,True,False
257,257,Pavel Růžička,M,2020-06-03,127,,True,False
258,258,Pavel Beneš,M,2017-08-28,13,,True,False
259,259,Pavel Bílý,M,2019-11-04,38,,True,False
260,260,Pavel Šimek,M,2019-03-24,128,,True,False
261,261,Pavel Svatoš,M,2021-04-04,29,,True,False
262,262,Pavel Mareš,M,2018-06-01,60,,True,False
263,263,Pavel Mach,M,2021-06-05,80,,True,False
264,264,Pavel Vávra,M,2021-03-02,130,,True,False
265,265,Pavel Tomáš,M,2018-11-17,116,,True,False
266,266,Pavel Toman,M,2017-09-30,55,,True,False
267,267,Pavel Konečný,M,2017-05-24,34,,True,False
268,268,Pavel Vlček,M,2021-08-24,61,,True,False
269,269,Pavel Kratochvíl,M,2019-12-29,120,,True,False
270,270,Pavel Kadlec,M,2017-08-23,58,,True,False
271,271,Pavel Kříž,M,2020-04-23,107,,True,False
272,272,Pavel Horváth,M,2019-12-07,86,,True,False
273,273,Pavel Polák,M,2018-05-20,14,,True,False
274,274,Pavel Janda,M,2016-10-25,45,,True,False
275,275,Pavel Dušek,M,2019-07-12,96,,True,False
276,276,Pavel Macháček,M,2020-04-13,47,,True,False
277,277,Pavel Navrátil,M,2020-06-17,119,,True,False
278,278,Pavel Staněk,M,2018-02-24,46,,True,False
279,279,Pavel Pekař,M,2019-04-25,18,,True,False
280,280,Lukáš Novák,M,2018-03-08,4,68.0,False,False
281,281,Lukáš Svoboda,M,2018-06-26,55,,True,False
282,282,Lukáš Novotný,M,2017-07-31,92,,True,False
283,283,Lukáš Dvořák,M,2020-12-29,5,,True,False
284,284,Lukáš Černý,M,2016-09-18,97,,True,False
285,285,Lukáš Procházka,M,2017-11-29,14,,True,False
286,286,Lukáš Kovařík,M,2021-06-08,48,,True,True
287,287,Lukáš Veselý,M,2020-06-29,79,,True,False
288,288,Lukáš Horák,M,2020-11-25,132,,True,False
289,289,Lukáš Němec,M,2017-12-05,96,,True,False
290,290,Lukáš Pospíšil,M,2017-09-01,115,,True,False
291,291,Lukáš Marek,M,2019-09-02,57,89.0,True,False
292,292,Lukáš Urban,M,2020-11-16,10,,True,True
293,293,Lukáš Soukup,M,2018-06-28,2,,True,False
294,294,Lukáš Hájek,M,2016-07-05,55,,False,False
295,295,Lukáš Fiala,M,2017-04-27,95,,False,False
296,296,Lukáš Král,M,2020-12-28,100,,True,False
297,297,Lukáš Růžička,M,2019-10-28,72,,True,False
298,298,Lukáš Beneš,M,2019-05-29,51,62.0,True,False
299,299,Lukáš Bílý,M,2017-07-01,87,,True,False
300,300,Lukáš Šimek,M,2018-05-25,65,,True,False
301,301,Lukáš Svatoš,M,2016-08-08,100,,True,False
302,302,Lukáš Mareš,M,2019-05-25,69,,True,False
303,303,Lukáš Mach,M,2019-12-25,120,,True,False
304,304,Lukáš Vávra,M,2021-07-13,9,,True,False
305,305,Lukáš Tomáš,M,2019-12-31,67,,True,False
306,306,Lukáš Toman,M,2018-03-19,87,,True,False
307,307,Lukáš Konečný,M,2020-06-13,19,,True,False
308,308,Lukáš Vlček,M,2018-03-24,106,,True,False
309,309,Lukáš Kratochvíl,M,2016-09-24,115,35.0,True,False
310,310,Lukáš Kadlec,M,2020-02-19,79,,True,False
311,311,Lukáš Kříž,M,2018-04-09,49,,True,False
312,312,Lukáš Horváth,M,2020-05-07,133,,True,True
313,313,Lukáš Polák,M,2018-11-24,20,,True,False
314,314,Lukáš Janda,M,2021-07-22,80,,True,False
315,315,Lukáš Dušek,M,2020-10-14,49,,True,False
316,316,Lukáš Macháček,M,2017-10-19,125,,True,False
317,317,Lukáš Navrátil,M,2019-08-10,127,,True,False
318,318,Lukáš Staněk,M,2020-08-31,131,,True,False
319,319,Lukáš Pekař,M,2017-01-29,26,,True,False
320,320,David Novák,M,2018-10-16,123,,True,False
321,321,David Svoboda,M,2016-10-14,123,102.0,True,False
322,322,David Novotný,M,2017-03-13,100,,True,False
323,323,David Dvořák,M,2020-08-20,85,,True,False
324,324,David Černý,M,2020-12-09,107,,True,False
325,325,David Procházka,M,2020-02-27,41,,True,False
326,326,David Kovařík,M,2020-01-11,59,,True,False
327,327,David Veselý,M,2018-05-19,34,,True,False
328,328,David Horák,M,2017-12-06,101,,True,False
329,329,David Němec,M,2020-12-31,10,,True,False
330,330,David Pospíšil,M,2017-03-03,30,,True,False
331,331,David Marek,M,2018-08-15,123,,True,False
332,332,David Urban,M,2017-03-05,72,105.0,True,False
333,333,David Soukup,M,2018-06-07,99,73.0,True,False
334,334,David Hájek,M,2020-11-03,113,,True,False
335,335,David Fiala,M,2020-12-27,38,,True,False
336,336,David Král,M,2020-11-09,70,,True,False
337,337,David Růžička,M,2021-03-18,123,,True,False
338,338,David Beneš,M,2021-05-18,38,,True,False
339,339,David Bílý,M,2017-11-27,20,,True,False
340,340,David Šimek,M,2017-03-29,51,,True,False
341,341,David Svatoš,M,2019-09-11,101,,True,False
342,342,David Mareš,M,2017-12-24,64,,True,False
343,343,David Mach,M,2020-04-06,113,,True,False
344,344,David Vávra,M,2020-09-19,30,,True,False
345,345,David Tomáš,M,2017-06-09,79,,True,False
346,346,David Toman,M,2020-06-26,16,,True,False
347,347,David Konečný,M,2020-03-06,62,,True,False
348,348,David Vlček,M,2018-09-07,25,,False,False
349,349,David Kratochvíl,M,2019-05-17,64,,True,False
350,350,David Kadlec,M,2020-05-22,82,,True,False
351,351,David Kříž,M,2017-02-12,93,,True,False
352,352,David Horváth,M,2021-04-16,82,,True,False
353,353,David Polák,M,2017-07-04,46,,True,False
354,354,David Janda,M,2019-12-16,52,,True,False
355,355,David Dušek,M,2019-07-29,89,,True,False
356,356,David Macháček,M,2018-11-05,13,,True,False
357,357,David Navrátil,M,2016-12-14,52,,True,False
358,358,David Staněk,M,2018-05-12,27,,True,False
359,359,David Pekař,M,2020-06-07,127,,True,False
360,360,Marek Novák,M,2017-11-13,99,,True,False
361,361,Marek Svoboda,M,2019-08-30,134,,True,False
362,362,Marek Novotný,M,2019-07-18,14,,True,False
363,363,Marek Dvořák,M,2017-08-28,108,,True,False
364,364,Marek Černý,M,2017-10-18,116,,True,False
365,365,Marek Procházka,M,2018-11-07,58,,True,True
366,366,Marek Kovařík,M,2018-09-14,115,,True,False
367,367,Marek Veselý,M,2021-05-11,83,,True,False
368,368,Marek Horák,M,2018-03-04,80,,True,False
369,369,Marek Němec,M,2016-10-19,32,,True,False
370,370,Marek Pospíšil,M,2016-12-14,36,,True,False
371,371,Marek Marek,M,2020-04-02,66,,True,False
372,372,Marek Urban,M,2019-09-29,64,,True,False
373,373,Marek Soukup,M,2021-08-01,109,,True,True
374,374,Marek Hájek,M,2020-04-29,18,,True,False
375,375,Marek Fiala,M,2016-09-30,61,,True,False
376,376,Marek Král,M,2016-10-14,16,,True,False
377,377,Marek Růžička,M,2021-02-06,85,,True,False
378,378,Marek Beneš,M,2016-12-27,73,,False,False
379,379,Marek Bílý,M,2021-06-28,119,,True,False
380,380,Marek Šimek,M,2020-07-03,80,,True,False
381,381,Marek Svatoš,M,2019-07-18,3,,True,False
382,382,Marek Mareš,M,2018-02-18,71,,True,False
383,383,Marek Mach,M,2017-05-14,32,,True,False
384,384,Marek Vávra,M,2021-01-05,66,,True,False
385,385,Marek Tomáš,M,2019-12-10,50,,True,False
386,386,Marek Toman,M,2017-08-22,92,,True,False
387,387,Marek Konečný,M,2020-11-04,18,,True,False
388,388,Marek Vlček,M,2018-03-25,104,,True,False
389,389,Marek Kratochvíl,M,2021-02-17,88,,True,True
390,390,Marek Kadlec,M,2021-01-02,72,,True,False
391,391,Marek Kříž,M,2017-11-14,116,,True,False
392,392,Marek Horváth,M,2019-05-06,56,,True,False
393,393,Marek Polák,M,2018-05-22,112,4.0,True,False
394,394,Marek Janda,M,2020-04-16,3,,True,False
395,395,Marek Dušek,M,2016-10-21,64,,True,False
396,396,Marek Macháček,M,2017-01-23,26,,True,False
397,397,Marek Navrátil,M,2017-03-26,93,,True,False
398,398,Marek Staněk,M,2017-11-29,88,,True,False
399,399,Marek Pekař,M,2020-09-15,118,,True,False
400,400,Adam Novák,M,2018-04-08,15,6.0,True,False
401,401,Adam Svoboda,M,2019-03-27,58,,True,False
402,402,Adam Novotný,M,2017-12-26,102,,True,False
403,403,Adam Dvořák,M,2018-11-16,94,,True,True
404,404,Adam Černý,M,2017-07-03,21,,True,False
405,405,Adam Procházka,M,2018-03-04,64,,True,False
406,406,Adam Kovařík,M,2021-07-29,94,,True,False
407,407,Adam Veselý,M,2016-09-19,6,,True,False
408,408,Adam Horák,M,2018-09-03,28,,True,False
409,409,Adam Němec,M,2020-12-18,17,,True,False
410,410,Adam Pospíšil,M,2018-10-22,131,,True,False
411,411,Adam Marek,M,2020-04-12,105,,True,False
412,412,Adam Urban,M,2020-09-16,26,,True,False
413,413,Adam Soukup,M,2017-02-14,128,,True,False
414,414,Adam Hájek,M,2020-09-09,104,,True,False
415,415,Adam Fiala,M,2020-05-19,39,,True,False
416,416,Adam Král,M,2019-07-21,40,,True,False
417,417,Adam Růžička,M,2019-12-24,11,,True,False
418,418,Adam Beneš,M,2018-08-27,28,,True,False
419,419,Adam Bílý,M,2020-07-09,35,,True,False
420,420,Adam Šimek,M,2019-06-15,76,,True,False
421,421,Adam Svatoš,M,2019-04-04,122,,False,False
422,422,Adam Mareš,M,2019-02-19,29,,True,False
423,423,Adam Mach,M,2020-09-30,97,,True,False
424,424,Adam Vávra,M,2017-11-17,25,,True,False
425,425,Adam Tomáš,M,2018-12-13,58,3.0,True,False
426,426,Adam Toman,M,2018-05-03,26,,True,False
427,427,Adam Konečný,M,2018-04-24,94,,True,False
428,428,Adam Vlček,M,2018-05-11,14,,True,False
429,429,Adam Kratochvíl,M,2017-05-30,88,,True,False
430,430,Adam Kadlec,M,2020-02-24,108,,True,False
431,431,Adam Kříž,M,2018-06-16,24,,True,False
432,432,Adam Horváth,M,2019-10-28,8,40.0,True,False
433,433,Adam Polák,M,2018-01-23,72,,True,False
434,434,Adam Janda,M,2021-03-12,35,,False,False
435,435,Adam Dušek,M,2018-03-16,54,,True,False
436,436,Adam Macháček,M,2019-04-27,85,,True,False
437,437,Adam Navrátil,M,2019-03-12,35,,True,False
438,438,Adam Staněk,M,2021-01-01,113,,True,False
439,439,Adam Pekař,M,2016-12-26,91,31.0,True,False
440,440,Jakub Novák,M,2017-10-15,29,107.0,True,False
441,441,Jakub Svoboda,M,2020-11-17,31,,True,True
442,442,Jakub Novotný,M,2016-08-20,110,,True,False
443,443,Jakub Dvořák,M,2016-06-17,126,,True,False
444,444,Jakub Černý,M,2018-10-18,123,,True,False
445,445,Jakub Procházka,M,2020-07-13,3,,True,False
446,446,Jakub Kovařík,M,2018-05-07,133,,True,False
447,447,Jakub Veselý,M,2016-12-09,118,,True,False
448,448,Jakub Horák,M,2019-10-29,23,67.0,True,False
449,449,Jakub Němec,M,2019-05-12,11,,True,False
450,450,Jakub Pospíšil,M,2019-07-19,62,,True,False
451,451,Jakub Marek,M,2021-04-19,46,,True,False
452,452,Jakub Urban,M,2020-05-14,47,,True,False
453,453,Jakub Soukup,M,2016-11-29,38,,True,False
454,454,Jakub Hájek,M,2018-12-01,85,,True,False
455,455,Jakub Fiala,M,2017-05-17,91,,True,False
456,456,Jakub Král,M,2020-10-15,55,,False,False
457,457,Jakub Růžička,M,2020-08-06,43,,True,False
458,458,Jakub Beneš,M,2021-01-19,74,,True,False
459,459,Jakub Bílý,M,2021-07-20,44,,True,False
460,460,Jakub Šimek,M,2020-03-31,33,,True,False
461,461,Jakub Svatoš,M,2020-01-25,71,,True,False
462,462,Jakub Mareš,M,2020-10-07,33,,True,False
463,463,Jakub Mach,M,2020-10-01,66,,True,False
464,464,Jakub Vávra,M,2019-08-19,59,,True,False
465,465,Jakub Tomáš,M,2017-07-29,55,,True,False
466,466,Jakub Toman,M,2019-09-16,59,,True,False
467,467,Jakub Konečný,M,2017-12-24,18,,True,False
468,468,Jakub Vlček,M,2020-12-28,49,,True,False
469,469,Jakub Kratochvíl,M,2021-04-27,17,,True,False
470,470,Jakub Kadlec,M,2016-08-09,133,,True,False
471,471,Jakub Kříž,M,2020-08-17,22,,True,False
472,472,Jakub Horváth,M,2017-09-17,26,,True,False
473,473,Jakub Polák,M,2017-10-10,124,,True,False
474,474,Jakub Janda,M,2020-03-24,85,,True,False
475,475,Jakub Dušek,M,2018-08-18,39,,True,False
476,476,Jakub Macháček,M,2018-05-09,80,,True,False
477,477,Jakub Navrátil,M,2020-10-13,8,,True,False
478,478,Jakub Staněk,M,2021-07-12,106,,True,False
479,479,Jakub Pekař,M,2018-04-10,133,,True,False
480,480,Ondřej Novák,M,2017-03-18,55,,True,False
481,481,Ondřej Svoboda,M,2019-09-13,85,,True,False
482,482,Ondřej Novotný,M,2017-05-06,61,95.0,True,False
483,483,Ondřej Dvořák,M,2019-10-14,133,,True,False
484,484,Ondřej Černý,M,2016-06-11,106,,True,False
