,Unnamed: 0,jmeno,pohlavi,datum_narozeni,vek,vek_dny_srpen31,body_za_vek,spadova_skolka,skolka_sourozence,bydliste_brno,prioritni_vek,id,mc
30,1637,Anna Tesařová,F,2020-09-06,2,-7,1000.0,60,,True,False,60,zidenice
31,1664,Barbora Šimková,F,2017-11-10,5,-72,2080.0,60,,True,True,60,zidenice
32,1771,Hana Malá,F,2018-08-22,5,8,2080.16,60,,True,True,60,zidenice
33,1774,Hana Růžičková,F,2017-03-12,6,171,2123.42,60,,True,True,60,zidenice
34,1947,Karolína Vondráčková,F,2018-02-24,5,187,2083.74,60,,True,True,60,zidenice
35,2048,Lenka Horáková,F,2019-08-02,4,28,2040.56,60,,True,True,60,zidenice
36,2096,Lucia Konečná,F,2021-05-22,2,100,2.0,60,106.0,True,False,60,zidenice
37,2152,Ludmila Kopecká,F,2017-03-31,6,152,2123.04,60,,True,True,60,zidenice
38,2254,Michaela Růžičková,F,2018-06-13,5,78,2081.56,60,,True,True,60,zidenice
39,2266,Michaela Králová,F,2017-12-20,5,-112,2080.0,60,,True,True,60,zidenice
40,2286,Monika Kučerová,F,2016-06-16,7,75,2161.5,60,,True,False,60,zidenice
41,2310,Monika Rýdlová,F,2016-12-04,6,-96,2120.0,60,,True,True,60,zidenice
42,2725,Zdeňka Procházková,F,2020-08-25,3,5,2000.1,60,,True,True,60,zidenice
43,2,Jan Novotný,M,2018-11-30,4,-92,2040.0,54,,True,True,54,stred
44,151,Jiří Kříž,M,2017-01-03,6,239,2124.78,54,,True,True,54,stred
45,204,Michal Černý,M,2017-09-17,5,-18,2080.0,54,,True,True,54,stred
46,300,Lukáš Šimek,M,2020-05-28,3,94,2001.88,54,,True,True,54,stred
47,1283,Štefan Dvořák,M,2016-12-14,6,-106,2120.0,54,,True,True,54,stred
48,1473,Róbert Polák,M,2016-07-13,7,48,2160.96,54,,True,False,54,stred
49,1668,Barbora Zábranská,F,2019-02-13,4,198,2043.96,54,,True,True,54,stred
50,1677,Barbora Tesařová,F,2021-06-30,2,61,1.22,54,,True,False,54,stred
51,1733,Eva Marešová,F,2019-08-02,4,28,2040.56,54,,True,True,54,stred
52,1817,Helena Kadlecová,F,2020-01-07,3,236,2004.72,54,,True,True,54,stred
53,1892,Jana Pospíšilová,F,2019-04-15,4,137,2042.74,54,,True,True,54,stred
54,2046,Lenka Kučerová,F,2019-08-19,4,11,2040.22,54,,True,True,54,stred
55,2189,Marcela Marečková,F,2018-06-24,5,67,2081.34,54,,True,True,54,stred
56,2213,Marta Marešová,F,2019-01-09,4,233,2044.66,54,,True,True,54,stred
57,2321,Natálie Svobodová,F,2021-07-09,2,52,1.04,54,,True,False,54,stred
58,2593,Simona Křenková,F,2017-12-09,5,-101,2080.0,54,,False,True,54,stred
59,2611,Soňa Malá,F,2020-11-15,2,-77,1000.0,54,,True,False,54,stred
60,2618,Soňa Tichá,F,2018-07-24,5,37,2080.74,54,,True,True,54,stred
61,2836,Alena Havlíčková,F,2019-10-02,3,-33,2000.0,54,,True,True,54,stred
62,2955,Daniela Tomášková,F,2020-08-20,3,10,2000.2,54,,True,True,54,stred
63,3094,Irena Růžičková,F,2020-03-15,3,168,2003.36,54,,True,True,54,stred
64,3185,Lenka Hlaváčková,F,2021-01-29,2,213,4.26,54,,True,False,54,stred
65,3,Jan Dvořák,M,2021-01-09,2,233,4.66,123,,True,False,123,stred
66,55,Petr Fiala,M,2019-03-28,4,155,2043.1,123,,True,True,123,stred
67,143,Jiří Mach,M,2020-11-05,2,-67,1000.0,123,,True,False,123,stred
68,222,Michal Mareš,M,2020-10-11,2,-42,1000.0,123,,True,False,123,stred
69,380,Marek Šimek,M,2018-11-29,4,-91,2040.0,123,,True,True,123,stred
70,868,Milan Vlček,M,2020-01-01,3,242,2004.84,123,,True,True,123,stred
71,1459,Róbert Bílý,M,2017-10-18,5,-49,2080.0,123,,True,True,123,stred
72,1528,Matúš Horák,M,2018-06-21,5,70,2081.4,123,,True,True,123,stred
73,1579,Samuel Bílý,M,2020-08-14,3,16,2000.32,123,,True,True,123,stred
74,1883,Jana Dvořáková,F,2020-09-20,2,-21,1000.0,123,,True,False,123,stred
75,1930,Karolína Křížová,F,2020-11-26,2,-88,1000.0,123,,True,False,123,stred
76,1934,Karolína Růžičková,F,2021-01-22,2,220,4.4,123,78.0,True,False,123,stred
77,1948,Karolína Zábranská,F,2019-09-19,3,-20,2000.0,123,83.0,True,True,123,stred
78,2196,Marcela Havlíčková,F,2021-05-16,2,106,2.12,123,,True,False,123,stred
79,2219,Marta Matějová,F,2018-09-13,4,-14,2040.0,123,,True,True,123,stred
80,2232,Marta Kopecká,F,2018-11-13,4,-75,2040.0,123,,True,True,123,stred
81,2234,Marta Vlčková,F,2017-02-03,6,208,2124.16,123,,True,True,123,stred
82,2255,Michaela Bílá,F,2019-02-14,4,197,2043.94,123,,True,True,123,stred
83,2314,Monika Vlčková,F,2016-12-17,6,-109,2120.0,123,,True,True,123,stred
84,2447,Pavlína Veselá,F,2018-07-27,5,34,2080.68,123,,True,True,123,stred
85,2546,Renata Králová,F,2020-07-28,3,33,2000.66,123,,True,True,123,stred
86,2792,Zuzana Kopecká,F,2020-02-21,3,191,2003.82,123,,True,True,123,stred
87,2894,Blanka Růžičková,F,2017-07-04,6,57,2121.14,123,,True,True,123,stred
88,3028,Eliška Zábranská,F,2017-08-29,6,1,2120.02,123,,True,True,123,stred
89,3053,Gabriela Marešová,F,2019-04-05,4,147,2042.94,123,,True,True,123,stred
90,3077,Gabriela Tesařová,F,2016-09-20,6,-21,2120.0,123,,True,True,123,stred
91,4,Jan Černý,M,2016-07-16,7,45,2160.9,36,,True,False,36,sever
92,92,Tomáš Urban,M,2019-08-21,4,9,2040.18,36,,True,True,36,sever
93,185,Martin Tomáš,M,2017-10-01,5,-32,2080.0,36,,True,True,36,sever
94,1008,Anton Horák,M,2020-04-26,3,126,2002.52,36,,True,True,36,sever
95,1049,Peter Němec,M,2020-04-25,3,127,2002.54,36,,True,True,36,sever
96,1123,Miroslav Dvořák,M,2017-01-29,6,213,2124.26,36,,True,True,36,sever
97,1393,Patrik Polák,M,2020-08-11,3,19,2000.38,36,,True,True,36,sever
98,1633,Anna Křenková,F,2018-05-11,5,111,2082.22,36,,True,True,36,sever
99,1790,Hana Rýdlová,F,2016-11-17,6,-79,2120.0,36,,True,True,36,sever
100,1902,Jana Hájková,F,2018-07-03,5,58,2081.16,36,,True,True,36,sever
101,2120,Ludmila Nováková,F,2020-08-18,3,12,2000.24,36,,True,True,36,sever
102,2154,Ludmila Vlčková,F,2016-12-15,6,-107,2120.0,36,,True,True,36,sever
103,2173,Marcela Marešová,F,2017-09-17,5,-18,2080.0,36,,True,True,36,sever
104,2194,Marcela Vlčková,F,2019-03-18,4,165,2043.3,36,,True,True,36,sever
105,2267,Michaela Vondráčková,F,2017-02-01,6,210,2124.2,36,,True,True,36,sever
106,2425,Patricia Hlaváčková,F,2021-04-08,2,144,2.88,36,,True,False,36,sever
107,2427,Patricia Vondráčková,F,2016-08-08,7,22,2160.44,36,,True,False,36,sever
108,2688,Veronika Horáková,F,2016-07-23,7,38,2160.76,36,,True,False,36,sever
109,5,Jan Procházka,M,2018-01-06,5,236,2084.72,8,,True,True,8,kohoutovice
110,37,Jan Navrátil,M,2020-05-04,3,118,2002.36,8,,True,True,8,kohoutovice
111,70,Petr Kadlec,M,2018-02-23,5,188,2083.76,8,,True,True,8,kohoutovice
112,110,Tomáš Kadlec,M,2021-03-26,2,157,3.14,8,,True,False,8,kohoutovice
113,152,Jiří Horváth,M,2019-03-15,4,168,2043.36,8,,True,True,8,kohoutovice
114,618,Radim Beneš,M,2020-05-12,3,110,2002.2,8,,True,True,8,kohoutovice
115,931,Jozef Marek,M,2017-04-05,6,147,2122.94,8,,True,True,8,kohoutovice
116,1027,Anton Konečný,M,2017-02-20,6,191,2123.82,8,,True,True,8,kohoutovice
117,1302,Štefan Mareš,M,2020-09-21,2,-22,1000.0,8,,True,False,8,kohoutovice
118,1303,Štefan Mach,M,2020-07-08,3,53,2001.06,8,,True,True,8,kohoutovice
119,1304,Štefan Vávra,M,2020-04-13,3,139,2002.78,8,,True,True,8,kohoutovice
120,1360,Patrik Novák,M,2016-09-24,6,-25,2120.0,8,,True,True,8,kohoutovice
121,1458,Róbert Beneš,M,2019-09-08,3,-9,2000.0,8,,True,True,8,kohoutovice
122,1531,Matúš Marek,M,2018-10-03,4,-34,2040.0,8,,True,True,8,kohoutovice
123,1859,Ivana Matějová,F,2020-01-30,3,213,2004.26,8,,True,True,8,kohoutovice
124,1937,Karolína Kadlecová,F,2020-09-02,2,-3,1000.0,8,,True,False,8,kohoutovice
125,2057,Lenka Kadlecová,F,2018-02-26,5,185,2083.7,8,,True,True,8,kohoutovice
126,2258,Michaela Tichá,F,2018-05-12,5,110,2082.2,8,,True,True,8,kohoutovice
127,2344,Natálie Šimková,F,2020-09-14,2,-15,1000.0,8,,True,False,8,kohoutovice
128,2370,Nikola Křížová,F,2019-03-04,4,179,2043.58,8,,True,True,8,kohoutovice
129,2642,Tereza Novotná,F,2021-05-30,2,92,1.84,8,,True,False,8,kohoutovice
130,2835,Alena Tomášková,F,2018-09-15,4,-16,2040.0,8,,True,True,8,kohoutovice
131,2892,Blanka Pospíšilová,F,2021-06-29,2,62,1.24,8,,True,False,8,kohoutovice
132,2901,Blanka Urbanová,F,2017-09-11,5,-12,2080.0,8,,True,True,8,kohoutovice
133,3074,Gabriela Vlčková,F,2017-09-06,5,-7,2080.0,8,,True,True,8,kohoutovice
134,3082,Irena Novotná,F,2019-09-02,3,-3,2000.0,8,,True,True,8,kohoutovice
135,3174,Lenka Růžičková,F,2019-05-02,4,120,2042.4,8,99.0,True,True,8,kohoutovice
136,6,Jan Kovařík,M,2019-01-04,4,238,2044.76,82,,True,True,82,stred
137,127,Jiří Veselý,M,2021-03-17,2,166,3.3200000000000003,82,,True,False,82,stred
138,397,Marek Navrátil,M,2016-08-18,7,12,2160.24,82,,True,False,82,stred
139,411,Adam Marek,M,2016-12-16,6,-108,2120.0,82,,True,True,82,stred
140,465,Jakub Tomáš,M,2020-11-02,2,-64,1000.0,82,,True,False,82,stred
141,539,Václav Bílý,M,2018-06-06,5,85,2081.7,82,,True,True,82,stred
142,704,Josef Vávra,M,2020-11-29,2,-91,1000.0,82,,True,False,82,stred
143,709,Josef Kratochvíl,M,2019-04-07,4,145,2042.9,82,,True,True,82,stred
144,942,Jozef Mareš,M,2017-07-08,6,53,2121.06,82,,True,True,82,stred
145,949,Jozef Kratochvíl,M,2016-08-27,7,3,2160.06,82,,True,False,82,stred
146,1032,Anton Horváth,M,2018-09-23,4,-24,2040.0,82,,True,True,82,stred
147,1050,Peter Pospíšil,M,2021-02-16,2,195,3.9,82,,True,False,82,stred
148,1224,Igor Vávra,M,2020-04-12,3,140,2002.8,82,76.0,True,True,82,stred
149,1290,Štefan Pospíšil,M,2020-12-13,2,-105,1000.0,82,,True,False,82,stred
150,1472,Róbert Horváth,M,2020-04-17,3,135,2002.7,82,,True,True,82,stred
151,1483,Erik Dvořák,M,2019-05-25,4,97,2041.94,82,,True,True,82,stred
152,1630,Anna Rýdlová,F,2018-01-16,5,226,2084.52,82,,True,True,82,stred
153,1751,Eva Benešová,F,2020-11-04,2,-66,1000.0,82,,True,False,82,stred
154,1860,Ivana Jelínková,F,2020-12-29,2,-121,1000.0,82,,True,False,82,stred
155,2032,Klára Kopecká,F,2017-10-21,5,-52,2080.0,82,,True,True,82,stred
156,2060,Lenka Jelínková,F,2018-03-18,5,165,2083.3,82,,True,True,82,stred
157,2083,Lucia Dvořáková,F,2021-02-12,2,199,3.98,82,,True,False,82,stred
158,2111,Lucia Benešová,F,2020-02-05,3,207,2004.14,82,,True,True,82,stred
159,2246,Michaela Kučerová,F,2018-06-10,5,81,2081.62,82,,True,True,82,stred
160,2439,Patricia Šťastná,F,2019-11-21,3,-83,2000.0,82,,True,True,82,stred
161,2748,Zdeňka Zábranská,F,2019-04-15,4,137,2042.74,82,,True,True,82,stred
162,2925,Daniela Procházková,F,2019-05-17,4,105,2042.1,82,,True,True,82,stred
163,7,Jan Veselý,M,2018-12-18,4,-110,2040.0,111,,True,True,111,stred
164,124,Jiří Černý,M,2018-01-23,5,219,2084.38,111,,True,True,111,stred
165,135,Jiří Fiala,M,2020-09-29,2,-30,1000.0,111,,True,False,111,stred
166,341,David Svatoš,M,2018-03-28,5,155,2083.1,111,,True,True,111,stred
167,549,Václav Kratochvíl,M,2019-12-18,3,-110,2000.0,111,,True,True,111,stred
168,612,Radim Urban,M,2016-09-18,6,-19,2120.0,111,,True,True,111,stred
169,970,Ivan Pospíšil,M,2020-11-18,2,-80,1000.0,111,49.0,True,False,111,stred
170,978,Ivan Beneš,M,2019-02-01,4,210,2044.2,111,,True,True,111,stred
171,1013,Anton Soukup,M,2021-01-19,2,223,4.46,111,,True,False,111,stred
172,1021,Anton Svatoš,M,2019-03-03,4,180,2043.6,111,70.0,True,True,111,stred
173,1242,Vladimír Novotný,M,2016-12-18,6,-110,2120.0,111,,True,True,111,stred
174,1266,Vladimír Toman,M,2019-07-25,4,36,2040.72,111,,True,True,111,stred
175,1341,Juraj Svatoš,M,2021-01-11,2,231,4.62,111,,True,False,111,stred
176,1362,Patrik Novotný,M,2018-06-15,5,76,2081.52,111,,True,True,111,stred
177,1457,Róbert Růžička,M,2017-11-27,5,-89,2080.0,111,,True,True,111,stred
178,1522,Matúš Novotný,M,2016-06-06,7,85,2161.7,111,,True,False,111,stred
179,1875,Ivana Tomášková,F,2016-07-09,7,52,2161.04,111,,True,False,111,stred
180,1996,Kateřina Havlíčková,F,2018-01-28,5,214,2084.28,111,,True,True,111,stred
181,2177,Marcela Kadlecová,F,2018-03-14,5,169,2083.38,111,,True,True,111,stred
182,2180,Marcela Jelínková,F,2017-03-17,6,166,2123.32,111,,True,True,111,stred
183,2438,Patricia Kočová,F,2020-02-02,3,210,2004.2,111,,True,True,111,stred
184,2687,Veronika Veselá,F,2016-06-08,7,83,2161.66,111,,True,False,111,stred
185,8,Jan Horák,M,2020-11-28,2,-90,1000.0,91,,True,False,91,kralovo_pole
186,239,Michal Pekař,M,2021-07-30,2,31,0.62,91,,True,False,91,kralovo_pole
187,286,Lukáš Kovařík,M,2016-12-16,6,-108,2120.0,91,,True,True,91,kralovo_pole
188,447,Jakub Veselý,M,2018-05-15,5,107,2082.14,91,,True,True,91,kralovo_pole
189,713,Josef Polák,M,2017-10-18,5,-49,2080.0,91,,True,True,91,kralovo_pole
190,966,Ivan Kovařík,M,2020-02-01,3,211,2004.22,91,,True,True,91,kralovo_pole
191,1137,Miroslav Růžička,M,2020-01-12,3,231,2004.62,91,,True,True,91,kralovo_pole
192,1225,Igor Tomáš,M,2021-07-04,2,57,1.14,91,,True,False,91,kralovo_pole
193,1270,Vladimír Kadlec,M,2021-08-04,2,26,0.52,91,,True,False,91,kralovo_pole
194,1289,Štefan Němec,M,2018-02-15,5,196,2083.92,91,,True,True,91,kralovo_pole
195,1917,Jana Tesařová,F,2021-03-18,2,165,3.3000000000000003,91,,True,False,91,kralovo_pole
196,2337,Natálie Kadlecová,F,2019-06-15,4,76,2041.52,91,,True,True,91,kralovo_pole
197,2525,Renata Procházková,F,2016-07-20,7,41,2160.82,91,,True,False,91,kralovo_pole
198,2553,Renata Křenková,F,2020-06-13,3,78,2001.56,91,,True,True,91,kralovo_pole
199,2586,Simona Králová,F,2020-03-10,3,173,2003.46,91,,True,True,91,kralovo_pole
200,2726,Zdeňka Kučerová,F,2019-10-25,3,-56,2000.0,91,,True,True,91,kralovo_pole
201,2794,Zuzana Vlčková,F,2018-04-08,5,144,2082.88,91,,True,True,91,kralovo_pole
202,2860,Andrea Jelínková,F,2020-11-30,2,-92,1000.0,91,,True,False,91,kralovo_pole
203,2882,Blanka Novotná,F,2016-10-11,6,-42,2120.0,91,,True,True,91,kralovo_pole
204,3041,Gabriela Svobodová,F,2019-07-13,4,48,2040.96,91,,True,True,91,kralovo_pole
205,3163,Lenka Dvořáková,F,2017-12-17,5,-109,2080.0,91,,True,True,91,kralovo_pole
206,3182,Lenka Hájková,F,2017-07-29,6,32,2120.64,91,,True,True,91,kralovo_pole
207,9,Jan Němec,M,2019-05-15,4,107,2042.14,45,,True,True,45,sever
208,45,Petr Procházka,M,2019-12-18,3,-110,2000.0,45,,True,True,45,sever
209,524,Václav Černý,M,2020-07-17,3,44,2000.88,45,,True,True,45,sever
210,917,Ján Navrátil,M,2020-04-27,3,125,2002.5,45,,True,True,45,sever
211,963,Ivan Dvořák,M,2018-12-23,4,-115,2040.0,45,,True,True,45,sever
212,1059,Peter Bílý,M,2019-12-03,3,-95,2000.0,45,,True,True,45,sever
213,1103,Andrej Mach,M,2018-10-24,4,-55,2040.0,45,,True,True,45,sever
214,1107,Andrej Konečný,M,2020-02-12,3,200,2004.0,45,120.0,True,True,45,sever
215,1956,Karolína Havlíčková,F,2017-10-19,5,-50,2080.0,45,,True,True,45,sever
216,2361,Nikola Svobodová,F,2019-04-24,4,128,2042.56,45,,True,True,45,sever
217,2477,Pavlína Tesařová,F,2019-02-03,4,208,2044.16,45,,True,True,45,sever
218,2569,Simona Němcová,F,2020-06-02,3,89,2001.78,45,,True,True,45,sever
219,2676,Tereza Havlíčková,F,2020-02-05,3,207,2004.14,45,,True,True,45,sever
220,2677,Tereza Tesařová,F,2021-08-24,2,6,0.12,45,,True,False,45,sever
221,2713,Veronika Křenková,F,2018-12-16,4,-108,2040.0,45,,True,True,45,sever
222,2750,Zdeňka Rýdlová,F,2021-02-20,2,191,3.82,45,,True,False,45,sever
223,2978,Dominika Tichá,F,2021-02-14,2,197,3.94,45,,True,False,45,sever
224,3142,Kamila Hájková,F,2018-05-25,5,97,2081.94,45,,True,True,45,sever
225,3175,Lenka Bílá,F,2020-10-09,2,-40,1000.0,45,37.0,True,False,45,sever
226,10,Jan Pospíšil,M,2020-05-25,3,97,2001.94,13,,True,True,13,jundrov
227,90,Tomáš Pospíšil,M,2019-11-02,3,-64,2000.0,13,,True,True,13,jundrov
228,112,Tomáš Horváth,M,2019-02-11,4,200,2044.0,13,121.0,True,True,13,jundrov
229,260,Pavel Šimek,M,2017-07-11,6,50,2121.0,13,,True,True,13,jundrov
230,722,Radek Novotný,M,2018-07-21,5,40,2080.8,13,132.0,True,True,13,jundrov
231,823,Aleš Mach,M,2017-04-28,6,124,2122.48,13,,True,True,13,jundrov
232,1020,Anton Šimek,M,2020-11-16,2,-78,1000.0,13,,True,False,13,jundrov
233,1035,Anton Dušek,M,2019-12-13,3,-105,2000.0,13,,True,True,13,jundrov
234,1074,Peter Janda,M,2018-09-14,4,-15,2040.0,13,,True,True,13,jundrov
235,1262,Vladimír Mareš,M,2016-06-21,7,70,2161.4,13,,True,False,13,jundrov
236,1395,Patrik Dušek,M,2019-05-15,4,107,2042.14,13,,True,True,13,jundrov
237,1436,Viktor Macháček,M,2019-12-16,3,-108,2000.0,13,,True,True,13,jundrov
238,1474,Róbert Janda,M,2017-01-10,6,232,2124.64,13,,True,True,13,jundrov
239,1510,Erik Kadlec,M,2020-12-19,2,-111,1000.0,13,,True,False,13,jundrov
240,1686,Denisa Kučerová,F,2018-07-30,5,31,2080.62,13,,True,True,13,jundrov
241,1745,Eva Hlaváčková,F,2017-12-09,5,-101,2080.0,13,,False,True,13,jundrov
242,1933,Karolína Marešová,F,2020-03-07,3,176,2003.52,13,,True,True,13,jundrov
243,1945,Karolína Hlaváčková,F,2018-03-25,5,158,2083.16,13,,True,True,13,jundrov
244,2023,Klára Pechová,F,2019-05-14,4,108,2042.16,13,,True,True,13,jundrov
245,2078,Lenka Kočová,F,2019-05-16,4,106,2042.12,13,,True,True,13,jundrov
246,2181,Marcela Urbanová,F,2018-07-29,5,32,2080.64,13,,True,True,13,jundrov
247,2393,Nikola Křenková,F,2018-08-18,5,12,2080.24,13,,True,True,13,jundrov
248,2489,Petra Němcová,F,2020-02-22,3,190,2003.8,13,,True,True,13,jundrov
249,2784,Zuzana Šimková,F,2020-06-20,3,71,2001.42,13,,True,True,13,jundrov
250,2806,Alena Kučerová,F,2018-06-26,5,65,2081.3,13,,True,True,13,jundrov
251,2915,Blanka Tomášková,F,2016-06-26,7,65,2161.3,13,,True,False,13,jundrov
252,2954,Daniela Vlčková,F,2016-10-07,6,-38,2120.0,13,,True,True,13,jundrov
253,3016,Eliška Konečná,F,2017-08-29,6,1,2120.02,13,,True,True,13,jundrov
254,3049,Gabriela Němcová,F,2019-03-13,4,170,2043.4,13,,True,True,13,jundrov
255,3097,Irena Kadlecová,F,2020-07-25,3,36,2000.72,13,,True,True,13,jundrov
256,3104,Irena Šimková,F,2016-08-10,7,20,2160.4,13,64.0,True,False,13,jundrov
257,12,Jan Urban,M,2017-05-01,6,121,2122.42,88,,True,True,88,cernovice
258,60,Petr Šimek,M,2018-08-06,5,24,2080.48,88,,True,True,88,cernovice
259,133,Jiří Soukup,M,2018-01-10,5,232,2084.64,88,,True,True,88,cernovice
260,485,Ondřej Procházka,M,2018-12-09,4,-101,2040.0,88,,False,True,88,cernovice
261,726,Radek Kovařík,M,2021-03-20,2,163,3.26,88,,True,False,88,cernovice
262,806,Aleš Kovařík,M,2021-05-20,2,102,2.04,88,,True,False,88,cernovice
263,1115,Andrej Dušek,M,2018-08-07,5,23,2080.46,88,,True,True,88,cernovice
264,1135,Miroslav Fiala,M,2018-05-18,5,104,2082.08,88,,True,True,88,cernovice
265,1467,Róbert Konečný,M,2017-02-13,6,198,2123.96,88,,True,True,88,cernovice
266,1553,Matúš Polák,M,2020-07-28,3,33,2000.66,88,,True,True,88,cernovice
267,1693,Denisa Marešová,F,2017-01-01,6,241,2124.82,88,,True,True,88,cernovice
268,1701,Denisa Urbanová,F,2021-05-25,2,97,1.94,88,,True,False,88,cernovice
269,2100,Lucia Jelínková,F,2019-05-25,4,97,2041.94,88,,True,True,88,cernovice
270,2130,Ludmila Křížová,F,2018-08-18,5,12,2080.24,88,,True,True,88,cernovice
271,2146,Ludmila Králová,F,2018-05-27,5,95,2081.9,88,,True,True,88,cernovice
272,2210,Marta Křížová,F,2017-01-14,6,228,2124.56,88,,True,True,88,cernovice
273,2275,Michaela Tomášková,F,2020-04-06,3,146,2002.92,88,,True,True,88,cernovice
274,2290,Monika Křížová,F,2019-01-31,4,211,2044.22,88,,True,True,88,cernovice
275,2392,Nikola Kopecká,F,2021-02-01,2,210,4.2,88,,True,False,88,cernovice
276,2462,Pavlína Hájková,F,2020-03-26,3,157,2003.14,88,,True,True,88,cernovice
277,2564,Simona Černá,F,2019-01-10,4,232,2044.64,88,,True,True,88,cernovice
278,2744,Zdeňka Šimková,F,2018-05-22,5,100,2082.0,88,36.0,True,True,88,cernovice
279,3113,Irena Křenková,F,2017-05-21,6,101,2122.02,88,,False,True,88,cernovice
280,14,Jan Hájek,M,2021-05-06,2,116,2.32,16,,True,False,16,jih
281,165,Martin Procházka,M,2018-10-08,4,-39,2040.0,16,,True,True,16,jih
282,572,Tomáš Urban,M,2020-03-19,3,164,2003.28,16,,True,True,16,jih
283,977,Ivan Růžička,M,2021-04-18,2,134,2.68,16,,True,False,16,jih
284,1149,Miroslav Kratochvíl,M,2017-07-30,6,31,2120.62,16,,True,True,16,jih
285,1187,Richard Konečný,M,2021-06-26,2,65,1.3,16,,True,False,16,jih
286,1319,Štefan Pekař,M,2018-04-29,5,123,2082.46,16,,True,True,16,jih
287,1333,Juraj Soukup,M,2016-10-29,6,-60,2120.0,16,66.0,True,True,16,jih
288,1336,Juraj Král,M,2021-05-21,2,101,2.02,16,,False,False,16,jih
289,1355,Juraj Dušek,M,2018-06-17,5,74,2081.48,16,,True,True,16,jih
290,1548,Matúš Vlček,M,2016-11-21,6,-83,2120.0,16,,True,True,16,jih
291,1634,Anna Vlčková,F,2020-04-29,3,123,2002.46,16,,True,True,16,jih
292,2172,Marcela Pospíšilová,F,2020-04-24,3,128,2002.56,16,,True,True,16,jih
293,2186,Marcela Králová,F,2018-08-19,5,11,2080.22,16,,True,True,16,jih
294,2348,Natálie Zábranská,F,2021-01-23,2,219,4.38,16,,True,False,16,jih
295,2389,Nikola Marečková,F,2019-11-02,3,-64,2000.0,16,,True,True,16,jih
296,2632,Soňa Kopecká,F,2016-08-13,7,17,2160.34,16,,True,False,16,jih
297,3045,Gabriela Procházková,F,2017-12-19,5,-111,2080.0,16,,True,True,16,jih
298,15,Jan Fiala,M,2021-06-21,2,70,1.4,115,,True,False,115,stred
299,16,Jan Král,M,2019-11-10,3,-72,2000.0,115,,True,True,115,stred
300,159,Jiří Pekař,M,2019-12-02,3,-94,2000.0,115,,True,True,115,stred
301,592,Tomáš Horváth,M,2018-06-07,5,84,2081.68,115,,True,True,115,stred
302,729,Radek Němec,M,2016-07-15,7,46,2160.92,115,,True,False,115,stred
303,897,Ján Růžička,M,2019-05-30,4,92,2041.84,115,,True,True,115,stred
