,dite_id,jmeno,pohlavi,datum_narozeni,spadova_skolka,skolka_sourozence,bydliste_brno,prodlouzena_dochazka
3123,3123,Monika Test Dvořáková,F,2020-10-24,104,-1,True,False
262,262,Michal Test Mareš,M,2021-02-05,34,-1,True,False
3895,3895,Daniela Test Veselá,F,2021-12-19,138,-1,True,False
1329,1329,Miroslav Test Janda,M,2020-09-23,134,-1,True,False
1241,1241,Peter Test Málek,M,2022-07-17,55,-1,True,False
4492,4492,Marie Test Zábranská,F,2020-08-20,40,122,True,False
575,575,Jakub Test Weiss,M,2021-07-11,77,-1,True,False
573,573,Jakub Test Hajný,M,2021-05-03,4,-1,True,False
698,698,Jáchym Test Konečný,M,2021-09-06,117,-1,True,False
4449,4449,Miloslava Test Křenková,F,2020-03-19,21,-1,True,False
3147,3147,Monika Test Vondráčková,F,2021-10-07,138,-1,True,False
1253,1253,Andrej Test Procházka,M,2021-02-06,54,-1,True,False
853,853,Josef Test Pekař,M,2021-04-02,115,-1,True,False
1235,1235,Peter Test Navrátil,M,2022-07-03,129,-1,True,False
448,448,Marek Test Král,M,2019-09-26,85,-1,True,False
2757,2757,Kateřina Test Urbanová,F,2020-12-31,105,-1,True,False
4526,4526,Nela Test Růžičková,F,2020-11-07,88,88,True,False
4563,4563,Štěpánka Test Dvořáková,F,2022-02-20,75,-1,True,False
2156,2156,Jindřich Test Mach,M,2021-01-29,137,-1,True,False
1529,1529,Štefan Test Málek,M,2019-07-31,-1,-1,False,False
167,167,Jiří Test Vávra,M,2019-12-18,59,119,True,False
2857,2857,Lenka Test Hlaváčková,F,2021-03-16,8,21,True,False
224,224,Martin Test Polák,M,2022-05-19,77,-1,True,False
1880,1880,Vladislav Test Horák,M,2020-10-09,0,-1,True,False
3919,3919,Daniela Test Benešová,F,2019-07-19,-1,-1,False,False
2526,2526,Hana Test Rýdlová,F,2022-05-16,17,-1,True,False
2067,2067,Robin Test Dvořák,M,2021-03-11,30,-1,True,True
3154,3154,Monika Test Vlčková,F,2021-03-30,26,-1,True,False
4504,4504,Marie Test Smetanová,F,2020-12-15,104,104,True,False
3650,3650,Zdeňka Test Novotná,F,2020-07-23,132,-1,True,False
826,826,Josef Test Pospíšil,M,2019-02-27,-1,-1,False,False
4569,4569,Štěpánka Test Němcová,F,2019-03-26,-1,102,False,False
4331,4331,Vladimíra Test Malá,F,2019-08-13,-1,-1,False,False
4548,4548,Nela Test Havlíčková,F,2020-10-10,56,-1,True,False
1154,1154,Anton Test Novotný,M,2021-09-05,129,-1,True,False
1720,1720,Erik Test Martínek,M,2021-08-19,66,-1,True,False
3379,3379,Petra Test Matějová,F,2022-01-17,121,78,True,False
3661,3661,Zdeňka Test Marešová,F,2019-03-10,-1,-1,False,False
1417,1417,Igor Test Toman,M,2019-07-01,-1,-1,False,False
1955,1955,Vladimír Test Navrátil,M,2020-05-31,114,-1,True,False
1553,1553,Juraj Test Růžička,M,2021-08-07,26,-1,True,False
2631,2631,Ivana Test Šťastná,F,2019-01-31,-1,-1,False,False
3365,3365,Petra Test Procházková,F,2019-11-23,40,-1,True,False
2041,2041,Miloslav Test Toman,M,2022-07-24,46,-1,True,False
2435,2435,Denisa Test Tomášková,F,2021-02-03,23,-1,True,False
2438,2438,Denisa Test Kočová,F,2019-12-01,132,-1,True,False
3838,3838,Andrea Test Mrázková,F,2021-05-13,73,-1,True,False
2352,2352,Barbora Test Nováková,F,2021-01-31,101,-1,True,False
3595,3595,Tereza Test Málková,F,2018-08-25,-1,-1,False,False
4571,4571,Štěpánka Test Malá,F,2019-04-18,-1,-1,False,False
153,153,Jiří Test Němec,M,2020-10-25,96,-1,True,False
2858,2858,Lenka Test Králová,F,2021-08-28,70,-1,True,False
1238,1238,Peter Test Smetana,M,2020-10-09,115,131,True,False
339,339,Lukáš Test Dvořák,M,2019-01-16,-1,-1,False,False
1901,1901,Vladislav Test Kadlec,M,2020-12-22,132,-1,True,False
2970,2970,Ludmila Test Martínková,F,2021-12-07,96,-1,True,False
1615,1615,Patrik Test Horváth,M,2020-12-11,31,-1,True,False
3820,3820,Andrea Test Zábranská,F,2021-02-16,17,-1,True,False
777,777,Jaroslav Test Němec,M,2020-10-31,104,104,True,False
2036,2036,Miloslav Test Šimek,M,2020-03-07,127,-1,True,False
4257,4257,Stanislava Test Křenková,F,2018-12-12,-1,-1,False,False
529,529,Jakub Test Svoboda,M,2021-04-21,24,24,True,False
1477,1477,Vladimír Test Pekař,M,2020-12-24,121,-1,True,False
3428,3428,Renata Test Jelínková,F,2019-06-23,-1,-1,False,False
3953,3953,Dominika Test Kadlecová,F,2020-07-05,54,-1,True,False
1930,1930,Vladimír Test Pospíšil,M,2021-08-07,59,-1,True,True
1491,1491,Štefan Test Dvořák,M,2021-12-31,129,-1,True,False
3301,3301,Patricia Test Tesařová,F,2021-03-09,21,-1,True,False
1799,1799,Samuel Test Vávra,M,2021-01-19,124,-1,True,False
841,841,Josef Test Toman,M,2021-02-06,58,-1,True,False
126,126,Tomáš Test Kříž,M,2022-06-22,37,-1,True,False
1782,1782,Samuel Test Kovařík,M,2022-08-26,76,-1,True,False
1114,1114,Ivan Test Pospíšil,M,2021-06-13,85,-1,True,False
1402,1402,Igor Test Pospíšil,M,2021-02-16,14,9,True,False
2218,2218,Karel Test Pospíšil,M,2021-01-08,34,-1,True,False
2269,2269,Štěpán Test Soukup,M,2019-11-27,77,-1,True,False
24,24,Jan Test Tomáš,M,2021-10-26,40,-1,True,False
3523,3523,Soňa Test Matějová,F,2020-09-29,51,-1,True,False
3231,3231,Nikola Test Bílá,F,2019-07-09,-1,-1,False,False
905,905,Radek Test Málek,M,2020-12-26,86,122,True,False
2024,2024,Miloslav Test Horák,M,2022-06-01,9,-1,True,False
1352,1352,Richard Test Horák,M,2020-10-28,82,-1,True,False
2800,2800,Klára Test Konečná,F,2021-06-04,101,-1,True,False
2354,2354,Barbora Test Novotná,F,2019-04-18,-1,-1,False,False
2557,2557,Helena Test Marešová,F,2022-01-05,138,-1,True,False
1776,1776,Samuel Test Novák,M,2021-02-22,73,-1,True,False
2897,2897,Lucia Test Kadlecová,F,2019-10-23,12,-1,True,False
3586,3586,Tereza Test Vlčková,F,2020-09-28,104,-1,True,False
900,900,Radek Test Staněk,M,2021-04-01,36,-1,True,False
4218,4218,Lenka Test Martínková,F,2019-04-06,-1,-1,False,False
1294,1294,Andrej Test Mrázek,M,2018-12-07,-1,-1,False,False
1186,1186,Anton Test Dušek,M,2020-12-12,5,-1,True,False
1883,1883,Vladislav Test Marek,M,2022-07-04,15,-1,True,False
3680,3680,Zdeňka Test Kopecká,F,2019-08-17,-1,-1,False,False
4008,4008,Eliška Test Šimková,F,2020-10-10,30,-1,True,False
1686,1686,Erik Test Kovařík,M,2022-07-13,11,-1,True,False
1364,1364,Richard Test Šimek,M,2021-02-02,62,-1,True,False
2405,2405,Denisa Test Procházková,F,2018-09-06,-1,-1,False,False
741,741,Radim Test Svatoš,M,2020-01-26,71,-1,True,False
3360,3360,Petra Test Nováková,F,2021-05-20,71,-1,True,False
1399,1399,Igor Test Veselý,M,2021-06-23,97,-1,True,False
4525,4525,Nela Test Marešová,F,2021-03-19,82,-1,True,False
3937,3937,Dominika Test Svobodová,F,2017-11-11,-1,-1,False,False
1518,1518,Štefan Test Kříž,M,2020-07-29,97,97,True,False
802,802,Jaroslav Test Dušek,M,2020-12-06,90,-1,True,False
1809,1809,Samuel Test Janda,M,2022-05-14,21,-1,True,False
1840,1840,Stanislav Test Král,M,2022-04-14,79,-1,True,False
2947,2947,Ludmila Test Matějová,F,2022-07-25,72,-1,True,False
2992,2992,Marcela Test Konečná,F,2019-12-05,131,131,True,False
4558,4558,Nela Test Mrázková,F,2020-08-17,108,-1,True,False
225,225,Martin Test Janda,M,2019-01-23,-1,-1,False,False
1231,1231,Peter Test Horváth,M,2021-01-08,104,-1,True,False
1541,1541,Juraj Test Procházka,M,2020-10-15,137,-1,True,False
1431,1431,Igor Test Starý,M,2021-07-17,53,-1,True,False
4454,4454,Miloslava Test Kočová,F,2020-09-14,72,-1,True,False
1345,1345,Richard Test Svoboda,M,2020-05-18,56,-1,True,False
2380,2380,Barbora Test Zábranská,F,2021-03-03,123,-1,True,True
1192,1192,Anton Test Martínek,M,2020-12-17,23,-1,True,False
13,13,Jan Test Soukup,M,2022-05-16,132,-1,True,False
1780,1780,Samuel Test Černý,M,2021-02-13,117,-1,True,False
3977,3977,Dominika Test Stará,F,2019-04-29,-1,-1,False,False
3952,3952,Dominika Test Konečná,F,2020-09-21,122,-1,True,False
1437,1437,Igor Test Hajný,M,2021-05-04,118,-1,True,False
2464,2464,Eva Test Konečná,F,2020-02-07,19,-1,True,False
3932,3932,Daniela Test Švadlenková,F,2021-12-19,72,-1,True,False
2159,2159,Jindřich Test Weiss,M,2021-03-01,99,-1,True,False
2316,2316,Anna Test Pospíšilová,F,2020-12-28,83,-1,True,False
1669,1669,Viktor Test Pekař,M,2021-03-29,10,-1,True,False
4566,4566,Štěpánka Test Kučerová,F,2019-06-15,-1,-1,False,False
2085,2085,Robin Test Svatoš,M,2021-08-17,39,-1,True,False
830,830,Josef Test Hájek,M,2021-05-15,128,-1,True,False
3137,3137,Monika Test Kadlecová,F,2020-09-12,58,-1,True,False
2795,2795,Klára Test Malá,F,2021-02-12,95,-1,True,False
4385,4385,Květoslava Test Kadlecová,F,2019-06-18,-1,-1,False,False
57,57,Petr Test Němec,M,2018-01-01,-1,-1,False,False
1506,1506,Štefan Test Beneš,M,2022-04-16,77,77,True,False
2474,2474,Eva Test Králová,F,2022-03-30,92,-1,True,False
2223,2223,Karel Test Fiala,M,2022-04-21,104,-1,True,False
2988,2988,Marcela Test Pospíšilová,F,2021-12-14,49,-1,True,False
2906,2906,Lucia Test Králová,F,2019-12-07,5,-1,True,False
867,867,Radek Test Dvořák,M,2021-08-19,65,-1,True,False
1255,1255,Andrej Test Veselý,M,2021-03-24,31,31,True,False
1663,1663,Viktor Test Horváth,M,2022-03-17,37,-1,True,False
3708,3708,Zuzana Test Pospíšilová,F,2022-01-24,125,-1,True,False
972,972,Aleš Test Urban,M,2020-11-14,109,-1,True,False
3584,3584,Tereza Test Kopecká,F,2018-10-18,-1,-1,False,False
131,131,Tomáš Test Navrátil,M,2022-08-03,21,-1,True,False
3564,3564,Tereza Test Pospíšilová,F,2020-06-05,127,127,True,True
1926,1926,Vladimír Test Kovařík,M,2020-10-29,98,-1,True,False
3325,3325,Pavlína Test Marešová,F,2017-11-30,-1,-1,False,False
1690,1690,Erik Test Pospíšil,M,2021-08-01,90,-1,True,False
3910,3910,Daniela Test Hájková,F,2022-01-13,103,-1,True,False
1918,1918,Vladislav Test Mrázek,M,2021-09-05,133,-1,True,False
1075,1075,Ján Test Bílý,M,2021-01-03,76,-1,True,False
4415,4415,Květoslava Test Weissová,F,2021-08-21,77,-1,True,False
3912,3912,Daniela Test Šimková,F,2020-05-27,38,-1,True,False
4082,4082,Irena Test Novotná,F,2020-12-22,66,-1,True,False
3265,3265,Patricia Test Svobodová,F,2021-05-11,114,-1,True,False
1196,1196,Anton Test Mach,M,2021-05-25,75,-1,True,False
854,854,Josef Test Smetana,M,2020-11-15,113,-1,True,False
305,305,Pavel Test Růžička,M,2021-07-18,46,-1,True,False
2021,2021,Miloslav Test Procházka,M,2020-09-30,21,-1,True,False
2197,2197,Josef Test Pekař,M,2022-01-06,76,-1,True,True
2121,2121,Jindřich Test Němec,M,2021-06-01,92,-1,True,False
1460,1460,Vladimír Test Šimek,M,2020-02-26,117,-1,True,False
3927,3927,Daniela Test Šťastná,F,2020-12-27,19,-1,True,False
4267,4267,Stanislava Test Málková,F,2020-11-11,5,-1,True,False
2937,2937,Ludmila Test Němcová,F,2021-01-09,28,-1,True,False
1464,1464,Vladimír Test Tomáš,M,2022-06-16,68,-1,True,False
1984,1984,Kamil Test Král,M,2022-07-16,92,-1,True,False
1739,1739,Matúš Test Marek,M,2018-11-22,-1,-1,False,False
1315,1315,Miroslav Test Bílý,M,2020-12-20,5,-1,True,False
1480,1480,Vladimír Test Martínek,M,2020-05-07,114,-1,True,False
897,897,Radek Test Janda,M,2020-10-12,49,-1,True,False
1185,1185,Anton Test Janda,M,2021-11-24,18,-1,True,False
4115,4115,Irena Test Tomášková,F,2020-10-02,92,-1,True,False
406,406,David Test Mareš,M,2021-08-07,1,-1,True,False
293,293,Pavel Test Procházka,M,2021-10-15,75,-1,True,False
1801,1801,Samuel Test Toman,M,2021-02-05,69,-1,True,False
4369,4369,Květoslava Test Svobodová,F,2021-08-05,21,-1,True,False
1859,1859,Stanislav Test Navrátil,M,2020-06-23,72,-1,True,False
2425,2425,Denisa Test Hlaváčková,F,2020-05-28,117,-1,True,False
517,517,Adam Test Pekař,M,2020-12-08,10,-1,True,False
2662,2662,Jana Test Hájková,F,2020-01-30,90,-1,True,False
3438,3438,Renata Test Rýdlová,F,2020-12-14,30,-1,True,False
411,411,David Test Vlček,M,2021-02-16,40,-1,True,False
4211,4211,Lenka Test Tomášková,F,2021-05-17,77,-1,True,False
2670,2670,Jana Test Rýdlová,F,2020-12-11,87,-1,True,False
2916,2916,Lucia Test Havlíčková,F,2020-10-05,131,-1,True,False
4311,4311,Vladislava Test Šťastná,F,2020-03-24,59,-1,True,False
3965,3965,Dominika Test Marečková,F,2019-03-07,-1,-1,False,False
3696,3696,Zuzana Test Nováková,F,2019-05-13,-1,-1,False,False
1635,1635,Viktor Test Dvořák,M,2018-09-20,-1,-1,False,False
923,923,Filip Test Marek,M,2021-03-20,107,-1,True,False
1063,1063,Ján Test Veselý,M,2022-08-27,36,-1,True,False
1308,1308,Miroslav Test Urban,M,2020-08-14,1,1,True,False
2172,2172,Josef Test Urban,M,2021-04-14,97,-1,True,False
2609,2609,Ivana Test Kadlecová,F,2022-02-07,103,-1,True,False
1414,1414,Igor Test Mareš,M,2020-10-13,21,-1,True,False
1021,1021,Milan Test Soukup,M,2021-02-18,28,-1,True,False
1680,1680,Erik Test Novák,M,2021-05-27,53,-1,True,False
3902,3902,Daniela Test Růžičková,F,2020-08-25,8,-1,True,False
3319,3319,Pavlína Test Veselá,F,2021-04-12,30,-1,True,False
4383,4383,Květoslava Test Bílá,F,2021-01-17,83,-1,True,False
1233,1233,Peter Test Janda,M,2020-12-08,6,-1,True,False
1567,1567,Juraj Test Horváth,M,2022-05-13,68,-1,True,False
4170,4170,Kamila Test Martínková,F,2021-02-28,51,-1,True,False
3859,3859,Blanka Test Matějová,F,2018-12-19,-1,-1,False,False
3327,3327,Pavlína Test Bílá,F,2021-12-02,108,-1,True,False
813,813,Jaroslav Test Hajný,M,2021-02-14,124,-1,True,False
309,309,Pavel Test Svatoš,M,2021-07-10,14,-1,True,False
3069,3069,Marta Test Hajná,F,2021-01-12,37,-1,True,False
1596,1596,Patrik Test Urban,M,2021-05-09,65,-1,True,False
1850,1850,Stanislav Test Konečný,M,2020-10-16,23,-1,True,False
3096,3096,Michaela Test Šimková,F,2021-04-06,122,-1,True,False
1570,1570,Juraj Test Dušek,M,2020-12-15,36,-1,True,False
674,674,Jáchym Test Novotný,M,2020-09-22,120,120,True,False
125,125,Tomáš Test Kadlec,M,2021-08-22,47,-1,True,False
1561,1561,Juraj Test Toman,M,2021-01-17,47,-1,True,False
3738,3738,Zuzana Test Martínková,F,2021-06-14,88,-1,True,False
1390,1390,Richard Test Mrázek,M,2019-04-11,-1,-1,False,False
1950,1950,Vladimír Test Kříž,M,2022-07-20,124,-1,True,False
1137,1137,Ivan Test Janda,M,2020-01-23,111,-1,True,False
3962,3962,Dominika Test Králová,F,2021-06-26,133,-1,True,False
3387,3387,Petra Test Vondráčková,F,2019-01-07,-1,-1,False,False
2966,2966,Ludmila Test Kočová,F,2021-08-12,132,-1,True,False
128,128,Tomáš Test Polák,M,2018-10-20,-1,-1,False,False
462,462,Marek Test Kříž,M,2021-12-10,0,-1,True,False
2001,2001,Kamil Test Janda,M,2021-09-13,117,-1,True,False
2535,2535,Hana Test Šťastná,F,2020-07-14,38,-1,True,False
3765,3765,Alena Test Urbanová,F,2022-03-29,105,-1,True,False
2209,2209,Karel Test Svoboda,M,2020-10-22,10,-1,True,False
3836,3836,Andrea Test Švadlenková,F,2019-06-15,-1,-1,False,False
3217,3217,Nikola Test Svobodová,F,2022-03-27,62,-1,True,False
4459,4459,Miloslava Test Málková,F,2019-01-07,-1,-1,False,False
4332,4332,Vladimíra Test Pospíšilová,F,2021-03-18,39,39,True,False
2931,2931,Ludmila Test Dvořáková,F,2022-07-22,54,-1,True,False
2896,2896,Lucia Test Konečná,F,2021-06-23,30,-1,True,False
1014,1014,Milan Test Kovařík,M,2022-08-22,91,-1,True,False
2758,2758,Kateřina Test Hájková,F,2020-11-12,72,-1,True,False
399,399,David Test Fiala,M,2021-08-05,41,-1,True,False
4565,4565,Štěpánka Test Procházková,F,2021-08-23,1,-1,True,False
4253,4253,Stanislava Test Marečková,F,2021-09-21,10,-1,True,False
1834,1834,Stanislav Test Pospíšil,M,2021-07-11,104,-1,True,False
3378,3378,Petra Test Tichá,F,2020-04-23,1,-1,True,False
434,434,Marek Test Novotný,M,2019-07-01,-1,-1,False,False
2338,2338,Anna Test Vlčková,F,2020-09-02,88,-1,True,False
48,48,Petr Test Novák,M,2019-09-12,123,-1,True,False
543,543,Jakub Test Fiala,M,2020-10-30,84,-1,True,False
3530,3530,Soňa Test Králová,F,2021-05-02,67,-1,True,False
3248,3248,Nikola Test Kopecká,F,2022-02-12,83,-1,True,False
572,572,Jakub Test Mach,M,2021-02-20,77,-1,True,False
1521,1521,Štefan Test Janda,M,2020-09-06,132,-1,True,False
1898,1898,Vladislav Test Konečný,M,2021-05-08,70,-1,True,False
3254,3254,Nikola Test Kočová,F,2021-01-18,14,-1,True,False
3914,3914,Daniela Test Králová,F,2019-09-18,86,-1,True,False
2179,2179,Josef Test Bílý,M,2021-09-23,46,-1,True,False
3492,3492,Simona Test Havlíčková,F,2021-01-04,117,-1,True,False
788,788,Jaroslav Test Šimek,M,2020-04-13,46,-1,True,False
368,368,Lukáš Test Polák,M,2020-08-03,129,9,True,True
2303,2303,Štěpán Test Weiss,M,2020-09-08,42,-1,True,False
3774,3774,Alena Test Rýdlová,F,2021-07-13,107,-1,True,False
3725,3725,Zuzana Test Marečková,F,2019-11-30,86,-1,True,False
1652,1652,Viktor Test Šimek,M,2022-02-15,9,-1,True,True
4085,4085,Irena Test Procházková,F,2019-09-19,38,-1,True,False
4187,4187,Lenka Test Malá,F,2020-03-10,64,-1,True,True
1123,1123,Ivan Test Bílý,M,2021-12-17,11,-1,True,False
400,400,David Test Král,M,2020-09-29,122,-1,True,False
660,660,Václav Test Staněk,M,2021-01-29,55,-1,True,False
4013,4013,Eliška Test Marečková,F,2022-03-08,15,-1,True,False
2961,2961,Ludmila Test Křenková,F,2018-09-16,-1,-1,False,False
1707,1707,Erik Test Vlček,M,2021-07-25,29,-1,True,False
3814,3814,Andrea Test Hájková,F,2021-06-24,132,-1,True,False
2235,2235,Karel Test Vlček,M,2021-08-31,122,-1,True,False
3079,3079,Michaela Test Veselá,F,2021-03-26,46,-1,True,False
2091,2091,Robin Test Vlček,M,2020-09-21,107,-1,True,False
1453,1453,Vladimír Test Soukup,M,2019-10-07,66,-1,True,False
2551,2551,Helena Test Veselá,F,2018-10-21,-1,-1,False,False
1870,1870,Stanislav Test Mrázek,M,2021-11-04,72,-1,True,False
4601,4601,Štěpánka Test Stará,F,2020-10-03,24,-1,True,False
156,156,Jiří Test Urban,M,2018-12-19,-1,-1,False,False
4227,4227,Stanislava Test Dvořáková,F,2020-01-14,138,138,True,False
396,396,David Test Urban,M,2019-01-30,-1,-1,False,False
1837,1837,Stanislav Test Soukup,M,2020-10-17,1,-1,True,False
851,851,Josef Test Navrátil,M,2021-05-21,44,-1,True,False
2806,2806,Klára Test Hájková,F,2020-10-09,34,-1,True,False
1703,1703,Erik Test Vávra,M,2021-06-02,37,-1,True,False
3178,3178,Natálie Test Křížová,F,2021-05-07,131,-1,True,False
2720,2720,Karolína Test Kopecká,F,2021-04-04,14,-1,True,False
2981,2981,Marcela Test Procházková,F,2022-08-01,8,8,True,False
1384,1384,Richard Test Martínek,M,2019-12-16,65,-1,True,False
3094,3094,Michaela Test Hájková,F,2020-07-28,132,-1,True,False
3681,3681,Zdeňka Test Křenková,F,2021-06-03,92,-1,True,False
3808,3808,Andrea Test Konečná,F,2021-03-03,22,-1,True,False
3955,3955,Dominika Test Matějová,F,2020-12-03,78,-1,True,False
3837,3837,Andrea Test Hajná,F,2019-07-26,-1,-1,False,True
2802,2802,Klára Test Tichá,F,2020-09-11,78,-1,True,False
