,dite_id,jmeno,pohlavi,datum_narozeni,bydliste_brno,spadova_skolka,skolka_sourozence,prodlouzena_dochazka
62,62,Petr Test Urban,M,2019-03-21,True,103,58,False
63,63,Petr Test Soukup,M,2020-05-12,True,102,-1,False
64,64,Petr Test Hájek,M,2021-07-23,True,1,-1,False
65,65,Petr Test Fiala,M,2018-01-25,True,121,-1,False
66,66,Petr Test Král,M,2018-08-13,True,31,-1,False
67,67,Petr Test Růžička,M,2020-06-22,True,84,-1,False
68,68,Petr Test Beneš,M,2019-11-01,True,115,-1,False
69,69,Petr Test Bílý,M,2021-02-13,True,7,-1,False
70,70,Petr Test Šimek,M,2018-03-06,True,87,-1,False
71,71,Petr Test Svatoš,M,2021-10-30,True,135,-1,False
72,72,Petr Test Mareš,M,2017-09-23,True,22,-1,False
73,73,Petr Test Mach,M,2019-09-17,True,42,-1,False
74,74,Petr Test Vávra,M,2017-07-30,True,81,-1,False
75,75,Petr Test Tomáš,M,2017-12-03,True,53,-1,False
76,76,Petr Test Toman,M,2019-08-11,True,130,-1,False
77,77,Petr Test Konečný,M,2022-08-20,True,7,-1,False
78,78,Petr Test Vlček,M,2017-07-09,True,31,-1,False
79,79,Petr Test Kratochvíl,M,2021-09-23,True,120,-1,False
80,80,Petr Test Kadlec,M,2021-04-13,True,32,-1,False
81,81,Petr Test Kříž,M,2018-02-02,True,124,-1,False
82,82,Petr Test Horváth,M,2021-08-03,True,7,-1,False
83,83,Petr Test Polák,M,2018-09-23,False,9,-1,False
84,84,Petr Test Janda,M,2022-08-06,True,84,-1,False
85,85,Petr Test Dušek,M,2019-03-10,True,130,-1,False
86,86,Petr Test Macháček,M,2019-10-20,True,50,-1,False
87,87,Petr Test Navrátil,M,2020-03-19,True,108,-1,False
88,88,Petr Test Staněk,M,2021-10-07,True,55,-1,False
89,89,Petr Test Pekař,M,2019-08-15,True,34,-1,False
90,90,Petr Test Smetana,M,2021-08-25,True,82,-1,False
91,91,Petr Test Starý,M,2018-04-20,True,24,-1,False
92,92,Petr Test Martínek,M,2018-08-03,True,102,110,False
93,93,Petr Test Málek,M,2018-03-27,True,51,-1,True
94,94,Petr Test Švadlenka,M,2021-07-15,True,94,-1,False
95,95,Petr Test Mareček,M,2018-09-17,True,90,-1,False
96,96,Petr Test Ronovský,M,2022-04-08,True,6,-1,False
97,97,Petr Test Hajný,M,2019-06-23,True,48,-1,False
98,98,Petr Test Mrázek,M,2021-09-11,False,73,24,True
99,99,Petr Test Weiss,M,2022-04-26,True,121,85,False
100,100,Tomáš Test Novák,M,2020-01-17,True,93,-1,False
101,101,Tomáš Test Svoboda,M,2020-07-27,True,10,-1,False
102,102,Tomáš Test Novotný,M,2020-05-17,True,97,-1,False
103,103,Tomáš Test Dvořák,M,2021-09-26,True,3,-1,False
104,104,Tomáš Test Černý,M,2017-12-10,True,106,-1,False
105,105,Tomáš Test Procházka,M,2019-05-21,True,67,-1,False
106,106,Tomáš Test Kovařík,M,2018-07-01,True,106,-1,False
107,107,Tomáš Test Veselý,M,2019-08-23,True,113,-1,False
108,108,Tomáš Test Horák,M,2021-07-03,True,18,-1,False
109,109,Tomáš Test Němec,M,2020-01-13,True,94,-1,False
110,110,Tomáš Test Pospíšil,M,2021-02-17,True,78,-1,False
111,111,Tomáš Test Marek,M,2020-05-21,True,19,-1,False
112,112,Tomáš Test Urban,M,2019-01-23,True,30,-1,False
113,113,Tomáš Test Soukup,M,2022-07-15,True,27,-1,False
114,114,Tomáš Test Hájek,M,2020-03-05,True,12,99,False
115,115,Tomáš Test Fiala,M,2022-02-10,True,71,-1,False
116,116,Tomáš Test Král,M,2019-08-20,True,136,-1,False
117,117,Tomáš Test Růžička,M,2020-03-03,True,19,-1,True
118,118,Tomáš Test Beneš,M,2017-06-13,True,101,-1,False
119,119,Tomáš Test Bílý,M,2019-11-20,True,14,110,False
120,120,Tomáš Test Šimek,M,2019-09-17,True,81,-1,False
121,121,Tomáš Test Svatoš,M,2019-12-15,True,73,6,False
122,122,Tomáš Test Mareš,M,2018-05-01,True,10,-1,False
123,123,Tomáš Test Mach,M,2017-08-18,True,104,-1,False
124,124,Tomáš Test Vávra,M,2018-03-11,True,112,-1,False
125,125,Tomáš Test Tomáš,M,2018-06-05,True,136,-1,False
126,126,Tomáš Test Toman,M,2018-01-31,False,29,-1,False
127,127,Tomáš Test Konečný,M,2022-01-01,True,13,-1,False
128,128,Tomáš Test Vlček,M,2021-12-19,True,35,-1,False
129,129,Tomáš Test Kratochvíl,M,2019-04-18,True,110,-1,False
130,130,Tomáš Test Kadlec,M,2021-11-23,True,32,-1,False
131,131,Tomáš Test Kříž,M,2019-11-04,True,132,71,False
132,132,Tomáš Test Horváth,M,2019-03-31,True,48,-1,False
133,133,Tomáš Test Polák,M,2021-04-27,True,64,-1,False
134,134,Tomáš Test Janda,M,2018-10-31,True,15,70,False
135,135,Tomáš Test Dušek,M,2020-04-12,True,9,-1,False
136,136,Tomáš Test Macháček,M,2021-02-07,True,22,-1,False
137,137,Tomáš Test Navrátil,M,2021-05-07,True,126,-1,False
138,138,Tomáš Test Staněk,M,2020-10-07,True,34,-1,False
139,139,Tomáš Test Pekař,M,2021-12-28,True,54,-1,False
140,140,Tomáš Test Smetana,M,2021-03-20,True,38,-1,False
141,141,Tomáš Test Starý,M,2017-12-22,True,76,-1,False
142,142,Tomáš Test Martínek,M,2018-12-31,True,24,-1,False
143,143,Tomáš Test Málek,M,2019-08-13,True,127,-1,False
144,144,Tomáš Test Švadlenka,M,2018-01-17,True,19,-1,False
145,145,Tomáš Test Mareček,M,2018-12-14,True,79,-1,False
146,146,Tomáš Test Ronovský,M,2017-09-20,False,94,-1,False
147,147,Tomáš Test Hajný,M,2017-07-31,True,115,-1,False
148,148,Tomáš Test Mrázek,M,2019-09-10,True,120,-1,False
149,149,Tomáš Test Weiss,M,2017-06-03,True,135,-1,False
150,150,Jiří Test Novák,M,2018-01-07,True,96,-1,False
151,151,Jiří Test Svoboda,M,2020-06-28,True,97,-1,False
152,152,Jiří Test Novotný,M,2019-05-08,True,45,-1,False
153,153,Jiří Test Dvořák,M,2017-11-14,True,5,-1,False
154,154,Jiří Test Černý,M,2019-08-12,True,77,5,False
155,155,Jiří Test Procházka,M,2017-12-11,True,16,-1,False
156,156,Jiří Test Kovařík,M,2019-08-09,True,20,-1,False
157,157,Jiří Test Veselý,M,2020-11-26,True,36,63,False
158,158,Jiří Test Horák,M,2021-06-05,True,136,-1,False
159,159,Jiří Test Němec,M,2020-09-12,True,87,-1,False
160,160,Jiří Test Pospíšil,M,2019-12-05,True,18,-1,False
161,161,Jiří Test Marek,M,2018-06-02,True,92,-1,False
162,162,Jiří Test Urban,M,2020-07-17,True,121,-1,False
163,163,Jiří Test Soukup,M,2020-08-19,True,28,-1,False
164,164,Jiří Test Hájek,M,2021-11-04,False,41,-1,False
165,165,Jiří Test Fiala,M,2021-07-08,False,138,15,False
166,166,Jiří Test Král,M,2020-12-07,True,79,-1,False
167,167,Jiří Test Růžička,M,2017-07-04,True,15,-1,False
168,168,Jiří Test Beneš,M,2019-05-22,True,9,-1,False
169,169,Jiří Test Bílý,M,2021-08-18,True,61,-1,False
170,170,Jiří Test Šimek,M,2019-10-24,True,47,-1,False
171,171,Jiří Test Svatoš,M,2021-09-11,True,81,-1,False
172,172,Jiří Test Mareš,M,2021-03-15,True,106,-1,False
173,173,Jiří Test Mach,M,2019-08-06,True,23,-1,False
174,174,Jiří Test Vávra,M,2022-05-21,True,34,-1,False
175,175,Jiří Test Tomáš,M,2019-09-15,True,71,-1,False
176,176,Jiří Test Toman,M,2017-06-25,True,2,-1,False
177,177,Jiří Test Konečný,M,2020-07-31,True,64,-1,False
178,178,Jiří Test Vlček,M,2017-10-04,True,40,-1,False
179,179,Jiří Test Kratochvíl,M,2021-03-17,True,135,-1,False
180,180,Jiří Test Kadlec,M,2019-09-01,True,45,-1,False
181,181,Jiří Test Kříž,M,2017-07-11,True,32,-1,False
182,182,Jiří Test Horváth,M,2019-03-20,True,24,-1,False
183,183,Jiří Test Polák,M,2020-01-14,True,132,-1,False
184,184,Jiří Test Janda,M,2021-08-11,True,23,-1,False
185,185,Jiří Test Dušek,M,2022-06-15,True,137,-1,False
186,186,Jiří Test Macháček,M,2017-12-31,True,82,-1,False
187,187,Jiří Test Navrátil,M,2019-07-18,True,17,-1,False
188,188,Jiří Test Staněk,M,2021-11-16,True,103,-1,False
189,189,Jiří Test Pekař,M,2018-04-07,True,116,-1,False
190,190,Jiří Test Smetana,M,2018-09-06,True,77,-1,False
191,191,Jiří Test Starý,M,2018-05-03,True,52,-1,False
192,192,Jiří Test Martínek,M,2019-02-22,True,78,-1,False
193,193,Jiří Test Málek,M,2018-12-04,True,48,-1,False
194,194,Jiří Test Švadlenka,M,2022-01-18,True,71,-1,False
195,195,Jiří Test Mareček,M,2019-01-27,True,100,-1,False
196,196,Jiří Test Ronovský,M,2019-03-06,True,45,-1,False
197,197,Jiří Test Hajný,M,2022-06-17,True,23,-1,False
198,198,Jiří Test Mrázek,M,2021-10-13,True,107,18,False
199,199,Jiří Test Weiss,M,2017-07-02,True,133,-1,False
200,200,Martin Test Novák,M,2021-10-31,True,101,-1,False
201,201,Martin Test Svoboda,M,2020-05-08,True,105,-1,False
202,202,Martin Test Novotný,M,2018-03-27,True,138,-1,False
203,203,Martin Test Dvořák,M,2021-08-09,True,115,-1,False
204,204,Martin Test Černý,M,2019-10-22,True,77,-1,True
205,205,Martin Test Procházka,M,2018-08-30,True,78,-1,False
206,206,Martin Test Kovařík,M,2021-11-13,False,50,-1,False
207,207,Martin Test Veselý,M,2018-09-13,True,50,-1,False
208,208,Martin Test Horák,M,2018-12-19,True,21,125,False
209,209,Martin Test Němec,M,2020-04-27,False,86,-1,False
210,210,Martin Test Pospíšil,M,2020-01-25,True,118,-1,False
211,211,Martin Test Marek,M,2017-08-05,True,16,-1,False
212,212,Martin Test Urban,M,2017-07-25,True,87,-1,False
213,213,Martin Test Soukup,M,2017-06-05,True,75,-1,False
214,214,Martin Test Hájek,M,2018-05-30,False,42,-1,False
215,215,Martin Test Fiala,M,2022-06-26,True,35,-1,False
216,216,Martin Test Král,M,2019-05-06,True,4,-1,False
217,217,Martin Test Růžička,M,2020-01-15,True,138,-1,False
218,218,Martin Test Beneš,M,2020-05-22,True,136,-1,False
219,219,Martin Test Bílý,M,2019-06-24,True,13,-1,False
220,220,Martin Test Šimek,M,2018-11-25,True,106,-1,False
221,221,Martin Test Svatoš,M,2022-02-02,True,108,-1,False
222,222,Martin Test Mareš,M,2021-01-31,True,121,-1,False
223,223,Martin Test Mach,M,2020-03-25,True,29,-1,False
224,224,Martin Test Vávra,M,2020-03-28,True,6,-1,False
225,225,Martin Test Tomáš,M,2018-08-06,True,113,99,False
226,226,Martin Test Toman,M,2020-11-09,True,80,-1,False
227,227,Martin Test Konečný,M,2021-12-19,True,63,-1,False
228,228,Martin Test Vlček,M,2022-05-16,True,26,-1,False
229,229,Martin Test Kratochvíl,M,2020-12-11,True,61,-1,False
230,230,Martin Test Kadlec,M,2018-07-26,True,97,-1,False
231,231,Martin Test Kříž,M,2018-02-23,True,110,-1,False
232,232,Martin Test Horváth,M,2022-04-06,True,33,-1,False
233,233,Martin Test Polák,M,2021-01-01,True,78,-1,False
234,234,Martin Test Janda,M,2022-04-24,True,118,-1,False
235,235,Martin Test Dušek,M,2021-11-14,True,60,-1,False
236,236,Martin Test Macháček,M,2020-02-11,True,80,-1,False
237,237,Martin Test Navrátil,M,2017-06-05,True,123,51,False
238,238,Martin Test Staněk,M,2017-11-05,False,15,-1,False
239,239,Martin Test Pekař,M,2017-11-05,True,123,-1,False
240,240,Martin Test Smetana,M,2017-09-24,True,51,-1,False
241,241,Martin Test Starý,M,2017-09-23,True,27,-1,False
242,242,Martin Test Martínek,M,2017-08-13,True,110,-1,False
243,243,Martin Test Málek,M,2018-10-05,True,116,-1,False
244,244,Martin Test Švadlenka,M,2021-05-30,True,30,-1,False
245,245,Martin Test Mareček,M,2021-08-25,True,131,-1,False
246,246,Martin Test Ronovský,M,2021-02-17,True,137,-1,False
247,247,Martin Test Hajný,M,2019-10-09,True,46,-1,False
248,248,Martin Test Mrázek,M,2021-12-02,True,23,-1,False
249,249,Martin Test Weiss,M,2017-07-09,True,138,11,False
250,250,Michal Test Novák,M,2019-04-20,True,65,-1,False
251,251,Michal Test Svoboda,M,2021-01-24,True,63,-1,False
252,252,Michal Test Novotný,M,2019-08-04,True,38,121,False
253,253,Michal Test Dvořák,M,2018-06-15,True,0,-1,False
254,254,Michal Test Černý,M,2021-08-27,True,95,-1,False
255,255,Michal Test Procházka,M,2022-06-26,True,132,-1,False
256,256,Michal Test Kovařík,M,2019-09-07,True,42,-1,False
257,257,Michal Test Veselý,M,2018-12-01,True,66,-1,False
258,258,Michal Test Horák,M,2019-12-03,True,130,-1,False
259,259,Michal Test Němec,M,2019-04-26,True,13,-1,False
260,260,Michal Test Pospíšil,M,2017-09-22,True,38,-1,False
261,261,Michal Test Marek,M,2019-11-18,True,131,-1,False
262,262,Michal Test Urban,M,2018-03-09,True,29,45,False
263,263,Michal Test Soukup,M,2019-01-28,True,61,-1,False
264,264,Michal Test Hájek,M,2020-12-02,True,82,68,False
265,265,Michal Test Fiala,M,2019-05-13,True,133,-1,False
266,266,Michal Test Král,M,2021-04-09,True,119,-1,False
267,267,Michal Test Růžička,M,2020-01-17,True,55,-1,True
268,268,Michal Test Beneš,M,2019-12-02,True,34,-1,False
269,269,Michal Test Bílý,M,2018-06-27,True,62,36,False
270,270,Michal Test Šimek,M,2020-06-17,True,123,-1,False
271,271,Michal Test Svatoš,M,2022-06-21,True,59,-1,False
272,272,Michal Test Mareš,M,2019-07-27,True,110,-1,False
273,273,Michal Test Mach,M,2021-05-22,True,88,55,False
274,274,Michal Test Vávra,M,2021-10-06,True,14,-1,False
275,275,Michal Test Tomáš,M,2017-11-03,True,54,-1,False
276,276,Michal Test Toman,M,2022-05-22,True,91,-1,False
277,277,Michal Test Konečný,M,2019-08-01,True,125,-1,False
278,278,Michal Test Vlček,M,2019-05-02,True,80,-1,False
279,279,Michal Test Kratochvíl,M,2019-02-24,True,127,101,False
280,280,Michal Test Kadlec,M,2022-04-03,True,71,-1,False
281,281,Michal Test Kříž,M,2022-07-23,True,68,-1,False
282,282,Michal Test Horváth,M,2017-06-26,True,55,-1,False
283,283,Michal Test Polák,M,2022-05-05,True,95,-1,False
284,284,Michal Test Janda,M,2017-12-16,True,5,101,False
285,285,Michal Test Dušek,M,2022-03-13,True,100,-1,False
286,286,Michal Test Macháček,M,2017-09-26,True,14,103,False
287,287,Michal Test Navrátil,M,2021-04-29,True,48,-1,False
288,288,Michal Test Staněk,M,2021-12-12,True,81,-1,False
289,289,Michal Test Pekař,M,2019-08-12,True,135,-1,False
290,290,Michal Test Smetana,M,2020-07-19,True,52,-1,False
291,291,Michal Test Starý,M,2018-09-01,True,34,-1,False
292,292,Michal Test Martínek,M,2020-09-01,True,76,55,False
293,293,Michal Test Málek,M,2022-06-08,True,126,78,False
294,294,Michal Test Švadlenka,M,2018-11-26,True,55,-1,False
295,295,Michal Test Mareček,M,2021-12-23,True,98,-1,False
296,296,Michal Test Ronovský,M,2018-03-07,True,103,-1,False
297,297,Michal Test Hajný,M,2020-07-06,True,73,72,False
298,298,Michal Test Mrázek,M,2021-10-10,True,51,-1,False
299,299,Michal Test Weiss,M,2018-12-07,True,136,-1,False
300,300,Pavel Test Novák,M,2020-04-18,True,125,-1,False
301,301,Pavel Test Svoboda,M,2017-11-18,False,5,-1,False
302,302,Pavel Test Novotný,M,2020-08-14,True,106,-1,False
303,303,Pavel Test Dvořák,M,2019-11-20,True,78,-1,False
304,304,Pavel Test Černý,M,2021-03-30,True,9,-1,False
305,305,Pavel Test Procházka,M,2020-07-27,True,68,-1,False
306,306,Pavel Test Kovařík,M,2020-01-12,True,90,-1,False
307,307,Pavel Test Veselý,M,2019-06-08,True,55,19,False
308,308,Pavel Test Horák,M,2022-05-25,True,108,-1,True
309,309,Pavel Test Němec,M,2021-02-11,True,121,-1,False
310,310,Pavel Test Pospíšil,M,2017-07-25,True,34,129,False
311,311,Pavel Test Marek,M,2020-01-05,True,49,-1,False
312,312,Pavel Test Urban,M,2018-11-07,True,136,-1,False
313,313,Pavel Test Soukup,M,2021-04-27,True,20,68,False
314,314,Pavel Test Hájek,M,2022-01-30,True,82,-1,False
315,315,Pavel Test Fiala,M,2021-10-14,True,41,-1,False
316,316,Pavel Test Král,M,2018-10-19,True,77,-1,False
317,317,Pavel Test Růžička,M,2020-08-09,True,130,-1,False
318,318,Pavel Test Beneš,M,2020-11-03,True,134,-1,False
319,319,Pavel Test Bílý,M,2022-04-23,True,26,-1,False
320,320,Pavel Test Šimek,M,2017-11-26,True,126,-1,False
321,321,Pavel Test Svatoš,M,2017-10-21,True,126,-1,False
322,322,Pavel Test Mareš,M,2020-06-08,True,103,97,False
323,323,Pavel Test Mach,M,2018-11-01,True,87,-1,False
324,324,Pavel Test Vávra,M,2019-07-03,True,110,-1,False
325,325,Pavel Test Tomáš,M,2018-07-06,True,41,-1,False
326,326,Pavel Test Toman,M,2019-03-07,True,60,-1,False
327,327,Pavel Test Konečný,M,2022-08-02,True,34,-1,False
328,328,Pavel Test Vlček,M,2021-04-01,True,104,-1,False
329,329,Pavel Test Kratochvíl,M,2021-10-12,True,10,-1,False
330,330,Pavel Test Kadlec,M,2018-07-25,True,30,-1,False
331,331,Pavel Test Kříž,M,2022-07-07,True,126,-1,False
332,332,Pavel Test Horváth,M,2020-12-05,True,73,-1,False
333,333,Pavel Test Polák,M,2021-11-13,True,55,37,False
334,334,Pavel Test Janda,M,2021-09-06,True,65,-1,False
335,335,Pavel Test Dušek,M,2021-12-27,True,4,-1,False
336,336,Pavel Test Macháček,M,2019-02-27,True,84,-1,False
337,337,Pavel Test Navrátil,M,2021-07-15,True,67,-1,False
338,338,Pavel Test Staněk,M,2022-04-21,True,81,-1,False
339,339,Pavel Test Pekař,M,2021-08-22,True,35,-1,False
340,340,Pavel Test Smetana,M,2020-05-16,True,109,14,False
341,341,Pavel Test Starý,M,2019-07-30,True,65,-1,False
342,342,Pavel Test Martínek,M,2021-01-12,True,116,-1,False
343,343,Pavel Test Málek,M,2017-11-09,True,43,-1,False
344,344,Pavel Test Švadlenka,M,2022-03-31,True,6,-1,False
345,345,Pavel Test Mareček,M,2019-10-12,True,53,-1,False
346,346,Pavel Test Ronovský,M,2018-05-13,True,63,-1,False
347,347,Pavel Test Hajný,M,2020-12-08,True,25,-1,False
348,348,Pavel Test Mrázek,M,2017-12-14,True,65,-1,False
349,349,Pavel Test Weiss,M,2019-06-06,True,84,-1,False
350,350,Lukáš Test Novák,M,2018-12-24,True,96,-1,True
351,351,Lukáš Test Svoboda,M,2020-11-29,True,84,-1,False
352,352,Lukáš Test Novotný,M,2020-10-14,True,46,-1,False
353,353,Lukáš Test Dvořák,M,2020-12-15,True,45,-1,False
354,354,Lukáš Test Černý,M,2021-11-11,True,46,-1,False
355,355,Lukáš Test Procházka,M,2020-06-03,True,106,-1,False
356,356,Lukáš Test Kovařík,M,2019-08-26,False,52,-1,False
357,357,Lukáš Test Veselý,M,2022-04-16,True,27,-1,False
358,358,Lukáš Test Horák,M,2020-01-04,True,56,-1,False
359,359,Lukáš Test Němec,M,2018-09-15,True,70,-1,False
360,360,Lukáš Test Pospíšil,M,2017-07-02,True,46,-1,False
361,361,Lukáš Test Marek,M,2022-08-10,True,99,-1,False
362,362,Lukáš Test Urban,M,2019-03-17,True,115,-1,False
363,363,Lukáš Test Soukup,M,2019-06-25,True,31,-1,False
364,364,Lukáš Test Hájek,M,2018-12-07,True,101,-1,False
365,365,Lukáš Test Fiala,M,2019-04-18,True,10,-1,False
366,366,Lukáš Test Král,M,2019-02-23,True,73,-1,False
367,367,Lukáš Test Růžička,M,2022-05-11,True,38,122,False
368,368,Lukáš Test Beneš,M,2021-03-24,False,82,-1,False
369,369,Lukáš Test Bílý,M,2020-05-29,True,32,-1,False
370,370,Lukáš Test Šimek,M,2021-05-08,True,36,29,False
371,371,Lukáš Test Svatoš,M,2022-01-29,True,67,-1,True
372,372,Lukáš Test Mareš,M,2022-06-13,True,65,-1,False
373,373,Lukáš Test Mach,M,2021-07-02,True,112,-1,False
374,374,Lukáš Test Vávra,M,2019-01-20,True,27,-1,False
375,375,Lukáš Test Tomáš,M,2018-06-02,True,62,-1,False
376,376,Lukáš Test Toman,M,2022-05-08,True,16,-1,False
377,377,Lukáš Test Konečný,M,2020-08-11,True,87,-1,False
378,378,Lukáš Test Vlček,M,2017-10-24,True,75,-1,False
379,379,Lukáš Test Kratochvíl,M,2019-03-21,True,122,-1,False
380,380,Lukáš Test Kadlec,M,2022-03-03,True,82,-1,False
381,381,Lukáš Test Kříž,M,2018-12-01,True,3,-1,False
382,382,Lukáš Test Horváth,M,2020-11-23,True,72,-1,False
383,383,Lukáš Test Polák,M,2021-06-27,True,32,-1,False
384,384,Lukáš Test Janda,M,2021-12-09,True,67,-1,False
385,385,Lukáš Test Dušek,M,2019-03-04,True,50,-1,False
386,386,Lukáš Test Macháček,M,2021-07-06,True,95,-1,False
387,387,Lukáš Test Navrátil,M,2020-05-16,True,18,-1,False
388,388,Lukáš Test Staněk,M,2020-07-24,False,107,-1,False
389,389,Lukáš Test Pekař,M,2019-10-28,True,24,-1,False
390,390,Lukáš Test Smetana,M,2020-04-27,True,30,-1,False
391,391,Lukáš Test Starý,M,2017-09-30,False,20,-1,False
392,392,Lukáš Test Martínek,M,2017-06-05,True,50,-1,False
393,393,Lukáš Test Málek,M,2021-06-05,True,16,-1,False
394,394,Lukáš Test Švadlenka,M,2021-01-31,True,69,63,False
395,395,Lukáš Test Mareček,M,2020-05-10,True,65,-1,False
396,396,Lukáš Test Ronovský,M,2020-09-30,False,26,119,False
397,397,Lukáš Test Hajný,M,2021-06-28,True,96,-1,False
398,398,Lukáš Test Mrázek,M,2018-08-11,True,91,39,False
399,399,Lukáš Test Weiss,M,2022-04-04,True,121,-1,False
400,400,David Test Novák,M,2018-11-26,True,15,-1,False
401,401,David Test Svoboda,M,2022-07-19,True,113,-1,False
402,402,David Test Novotný,M,2019-08-18,True,14,-1,False
403,403,David Test Dvořák,M,2020-05-31,True,55,-1,False
404,404,David Test Černý,M,2020-08-03,True,134,-1,False
405,405,David Test Procházka,M,2018-03-17,True,42,-1,False
406,406,David Test Kovařík,M,2018-02-11,True,124,-1,False
407,407,David Test Veselý,M,2020-01-14,True,97,-1,False
408,408,David Test Horák,M,2017-12-30,True,6,-1,False
409,409,David Test Němec,M,2019-08-29,True,28,-1,False
410,410,David Test Pospíšil,M,2019-10-27,True,17,-1,False
411,411,David Test Marek,M,2018-12-12,True,134,-1,False
412,412,David Test Urban,M,2018-04-21,False,108,-1,False
413,413,David Test Soukup,M,2019-05-12,True,26,-1,False
414,414,David Test Hájek,M,2017-08-16,True,131,-1,False
415,415,David Test Fiala,M,2019-07-02,True,107,-1,False
416,416,David Test Král,M,2018-01-19,True,39,-1,False
417,417,David Test Růžička,M,2018-07-13,True,40,-1,False
418,418,David Test Beneš,M,2022-07-03,True,129,-1,False
419,419,David Test Bílý,M,2020-04-30,True,54,-1,False
420,420,David Test Šimek,M,2017-07-06,True,128,-1,False
421,421,David Test Svatoš,M,2019-11-09,True,24,-1,False
422,422,David Test Mareš,M,2018-07-08,True,56,-1,False
423,423,David Test Mach,M,2018-03-23,True,94,-1,False
424,424,David Test Vávra,M,2020-02-19,True,81,-1,False
425,425,David Test Tomáš,M,2021-09-30,True,84,58,False
