,id_dite,jmeno,pohlavi,datum_narozeni,vek,vek_dny_srpen31,body_za_vek_roky,body_za_vek_dny,spadova_skolka,skolka_sourozence,bydliste_brno,prioritni_vek,prodlouzena_dochazka
22,22,Jan Mareš,M,2019-05-20,4,102,2040,2.04,0,,True,True,False
23,23,Jan Mach,M,2017-09-11,5,-12,2080,0.0,2,,True,True,False
24,24,Jan Vávra,M,2019-11-24,3,-86,2000,0.0,1,,True,True,False
25,25,Jan Tomáš,M,2018-10-15,4,-46,2040,0.0,2,,True,True,False
26,26,Jan Toman,M,2021-07-01,2,60,0,1.2,0,3.0,True,False,False
27,27,Jan Konečný,M,2017-05-14,6,108,2120,2.16,0,,True,True,False
28,28,Jan Vlček,M,2019-06-02,4,89,2040,1.78,0,,True,True,False
29,29,Jan Kratochvíl,M,2016-12-01,6,-93,2120,0.0,2,,True,True,False
30,30,Jan Kadlec,M,2019-07-01,4,60,2040,1.2,0,1.0,True,True,False
31,31,Jan Kříž,M,2016-11-29,6,-91,2120,0.0,0,,True,True,False
32,32,Jan Horváth,M,2020-06-19,3,72,2000,1.44,1,,True,True,False
33,33,Jan Polák,M,2016-06-19,7,72,2160,1.44,0,,True,False,False
34,34,Jan Janda,M,2019-01-11,4,231,2040,4.62,3,,False,True,True
35,35,Jan Dušek,M,2017-09-09,5,-10,2080,0.0,3,,True,True,False
36,36,Jan Macháček,M,2019-04-24,4,128,2040,2.56,0,,True,True,False
37,37,Jan Navrátil,M,2018-06-28,5,63,2080,1.26,1,,False,True,False
38,38,Jan Staněk,M,2017-04-19,6,133,2120,2.66,2,,True,True,False
39,39,Jan Pekař,M,2019-10-11,3,-42,2000,0.0,0,,False,True,False
40,40,Petr Novák,M,2019-12-02,3,-94,2000,0.0,2,,True,True,False
41,41,Petr Svoboda,M,2021-07-30,2,31,0,0.62,3,,True,False,False
42,42,Petr Novotný,M,2017-05-31,6,91,2120,1.82,0,,True,True,False
43,43,Petr Dvořák,M,2020-11-28,2,-90,1000,0.0,1,,True,False,False
44,44,Petr Černý,M,2017-09-13,5,-14,2080,0.0,0,,True,True,False
45,45,Petr Procházka,M,2021-08-08,2,22,0,0.44,0,,True,False,False
46,46,Petr Kovařík,M,2019-01-21,4,221,2040,4.42,3,,True,True,False
47,47,Petr Veselý,M,2020-09-01,2,-2,1000,0.0,1,,True,False,False
48,48,Petr Horák,M,2019-02-26,4,185,2040,3.7,1,,True,True,False
49,49,Petr Němec,M,2017-07-24,6,37,2120,0.74,1,,True,True,False
50,50,Petr Pospíšil,M,2019-04-25,4,127,2040,2.54,3,,True,True,False
51,51,Petr Marek,M,2021-01-04,2,238,0,4.76,3,,True,False,False
52,52,Petr Urban,M,2019-04-22,4,130,2040,2.6,1,,True,True,False
53,53,Petr Soukup,M,2021-08-30,2,0,0,0.0,2,3.0,False,False,True
54,54,Petr Hájek,M,2019-12-17,3,-109,2000,0.0,0,,True,True,False
55,55,Petr Fiala,M,2020-06-25,3,66,2000,1.32,1,,True,True,True
56,56,Petr Král,M,2019-06-15,4,76,2040,1.52,0,,True,True,False
57,57,Petr Růžička,M,2021-06-05,2,86,0,1.72,1,,True,False,False
58,58,Petr Beneš,M,2020-06-20,3,71,2000,1.42,3,,True,True,False
59,59,Petr Bílý,M,2020-03-20,3,163,2000,3.2600000000000002,0,,True,True,False
60,60,Petr Šimek,M,2017-05-01,6,121,2120,2.42,2,,True,True,False
61,61,Petr Svatoš,M,2017-01-03,6,239,2120,4.78,2,,True,True,False
62,62,Petr Mareš,M,2019-07-02,4,59,2040,1.18,0,,True,True,False
63,63,Petr Mach,M,2021-03-31,2,152,0,3.04,0,,True,False,False
64,64,Petr Vávra,M,2020-06-29,3,62,2000,1.24,1,,True,True,False
65,65,Petr Tomáš,M,2021-07-30,2,31,0,0.62,2,,True,False,False
66,66,Petr Toman,M,2019-07-31,4,30,2040,0.6,3,,True,True,False
67,67,Petr Konečný,M,2020-12-13,2,-105,1000,0.0,3,,False,False,False
68,68,Petr Vlček,M,2016-12-30,6,-122,2120,0.0,1,,True,True,False
69,69,Petr Kratochvíl,M,2016-10-21,6,-52,2120,0.0,3,,True,True,False
70,70,Petr Kadlec,M,2020-08-21,3,9,2000,0.18,1,,True,True,False
71,71,Petr Kříž,M,2019-12-03,3,-95,2000,0.0,1,,True,True,False
72,72,Petr Horváth,M,2017-01-29,6,213,2120,4.26,1,,True,True,False
73,73,Petr Polák,M,2017-08-06,6,24,2120,0.48,1,,True,True,False
74,74,Petr Janda,M,2020-10-10,2,-41,1000,0.0,1,,True,False,False
75,75,Petr Dušek,M,2017-10-24,5,-55,2080,0.0,3,,True,True,False
76,76,Petr Macháček,M,2016-09-19,6,-20,2120,0.0,3,3.0,True,True,False
77,77,Petr Navrátil,M,2021-03-23,2,160,0,3.2,3,1.0,True,False,False
78,78,Petr Staněk,M,2021-01-30,2,212,0,4.24,0,,True,False,False
79,79,Petr Pekař,M,2021-06-12,2,79,0,1.58,2,,True,False,False
80,80,Tomáš Novák,M,2020-04-29,3,123,2000,2.46,3,,True,True,False
81,81,Tomáš Svoboda,M,2020-03-22,3,161,2000,3.22,3,,True,True,False
82,82,Tomáš Novotný,M,2017-01-17,6,225,2120,4.5,3,,True,True,False
83,83,Tomáš Dvořák,M,2020-01-08,3,235,2000,4.7,1,,True,True,False
84,84,Tomáš Černý,M,2016-06-14,7,77,2160,1.54,0,,True,False,False
85,85,Tomáš Procházka,M,2020-12-15,2,-107,1000,0.0,1,,True,False,False
86,86,Tomáš Kovařík,M,2018-12-23,4,-115,2040,0.0,0,,True,True,False
87,87,Tomáš Veselý,M,2020-02-04,3,208,2000,4.16,1,,True,True,False
88,88,Tomáš Horák,M,2016-07-09,7,52,2160,1.04,1,,True,False,False
89,89,Tomáš Němec,M,2017-06-19,6,72,2120,1.44,0,,True,True,False
90,90,Tomáš Pospíšil,M,2021-04-11,2,141,0,2.82,2,,True,False,False
91,91,Tomáš Marek,M,2019-05-11,4,111,2040,2.22,3,,True,True,False
92,92,Tomáš Urban,M,2020-04-07,3,145,2000,2.9,0,,True,True,False
93,93,Tomáš Soukup,M,2021-05-27,2,95,0,1.9000000000000001,1,,True,False,False
94,94,Tomáš Hájek,M,2020-01-31,3,212,2000,4.24,2,,True,True,False
95,95,Tomáš Fiala,M,2018-09-08,4,-9,2040,0.0,1,,True,True,False
96,96,Tomáš Král,M,2021-02-23,2,188,0,3.7600000000000002,2,,True,False,False
97,97,Tomáš Růžička,M,2020-11-20,2,-82,1000,0.0,3,,True,False,False
98,98,Tomáš Beneš,M,2019-10-23,3,-54,2000,0.0,1,,True,True,False
99,99,Tomáš Bílý,M,2018-05-10,5,112,2080,2.24,0,,True,True,False
100,100,Tomáš Šimek,M,2016-06-26,7,65,2160,1.3,0,,True,False,False
101,101,Tomáš Svatoš,M,2019-01-01,4,241,2040,4.82,2,,True,True,False
102,102,Tomáš Mareš,M,2017-09-25,5,-26,2080,0.0,2,,True,True,False
103,103,Tomáš Mach,M,2021-06-23,2,68,0,1.36,0,,True,False,False
104,104,Tomáš Vávra,M,2018-04-23,5,129,2080,2.58,0,,True,True,False
105,105,Tomáš Tomáš,M,2018-12-17,4,-109,2040,0.0,0,,True,True,False
106,106,Tomáš Toman,M,2017-07-26,6,35,2120,0.7000000000000001,2,,True,True,False
107,107,Tomáš Konečný,M,2019-11-16,3,-78,2000,0.0,1,,True,True,False
108,108,Tomáš Vlček,M,2021-04-04,2,148,0,2.96,0,,True,False,False
109,109,Tomáš Kratochvíl,M,2019-02-15,4,196,2040,3.92,2,,True,True,False
110,110,Tomáš Kadlec,M,2017-07-13,6,48,2120,0.96,0,,True,True,False
111,111,Tomáš Kříž,M,2016-08-13,7,17,2160,0.34,1,,True,False,False
112,112,Tomáš Horváth,M,2017-03-20,6,163,2120,3.2600000000000002,2,,True,True,False
113,113,Tomáš Polák,M,2019-09-10,3,-11,2000,0.0,0,,True,True,False
114,114,Tomáš Janda,M,2017-10-27,5,-58,2080,0.0,3,,True,True,False
115,115,Tomáš Dušek,M,2016-08-12,7,18,2160,0.36,0,,True,False,False
116,116,Tomáš Macháček,M,2016-10-11,6,-42,2120,0.0,3,,False,True,False
117,117,Tomáš Navrátil,M,2017-03-25,6,158,2120,3.16,0,,True,True,False
118,118,Tomáš Staněk,M,2016-10-27,6,-58,2120,0.0,3,,True,True,False
119,119,Tomáš Pekař,M,2018-06-14,5,77,2080,1.54,0,,True,True,False
120,120,Jiří Novák,M,2018-02-28,5,183,2080,3.66,3,,True,True,False
121,121,Jiří Svoboda,M,2019-07-16,4,45,2040,0.9,0,,True,True,False
122,122,Jiří Novotný,M,2018-04-02,5,150,2080,3.0,0,,True,True,False
123,123,Jiří Dvořák,M,2021-03-19,2,164,0,3.2800000000000002,0,,True,False,False
124,124,Jiří Černý,M,2018-01-29,5,213,2080,4.26,0,,True,True,False
125,125,Jiří Procházka,M,2020-03-22,3,161,2000,3.22,3,,True,True,False
126,126,Jiří Kovařík,M,2017-07-31,6,30,2120,0.6,2,,True,True,False
127,127,Jiří Veselý,M,2019-06-27,4,64,2040,1.28,3,,True,True,False
128,128,Jiří Horák,M,2019-03-12,4,171,2040,3.42,3,,True,True,False
129,129,Jiří Němec,M,2016-12-18,6,-110,2120,0.0,0,,True,True,False
130,130,Jiří Pospíšil,M,2018-10-03,4,-34,2040,0.0,0,,True,True,False
131,131,Jiří Marek,M,2019-12-04,3,-96,2000,0.0,0,,True,True,False
132,132,Jiří Urban,M,2018-12-20,4,-112,2040,0.0,0,,True,True,False
133,133,Jiří Soukup,M,2020-05-16,3,106,2000,2.12,0,,True,True,False
134,134,Jiří Hájek,M,2018-11-16,4,-78,2040,0.0,3,,True,True,False
135,135,Jiří Fiala,M,2020-03-25,3,158,2000,3.16,0,,True,True,False
136,136,Jiří Král,M,2019-08-08,4,22,2040,0.44,2,,True,True,False
137,137,Jiří Růžička,M,2020-11-10,2,-72,1000,0.0,1,,True,False,False
138,138,Jiří Beneš,M,2018-10-04,4,-35,2040,0.0,1,,True,True,False
139,139,Jiří Bílý,M,2017-06-09,6,82,2120,1.6400000000000001,2,,True,True,False
140,140,Jiří Šimek,M,2017-12-18,5,-110,2080,0.0,3,,True,True,False
141,141,Jiří Svatoš,M,2018-11-14,4,-76,2040,0.0,1,,True,True,False
142,142,Jiří Mareš,M,2019-10-31,3,-62,2000,0.0,3,,True,True,False
143,143,Jiří Mach,M,2017-12-06,5,-98,2080,0.0,2,,True,True,False
144,144,Jiří Vávra,M,2020-07-20,3,41,2000,0.8200000000000001,3,,True,True,False
145,145,Jiří Tomáš,M,2017-02-26,6,185,2120,3.7,1,,True,True,False
146,146,Jiří Toman,M,2016-09-23,6,-24,2120,0.0,1,,True,True,False
147,147,Jiří Konečný,M,2019-07-05,4,56,2040,1.12,1,,True,True,False
148,148,Jiří Vlček,M,2018-05-24,5,98,2080,1.96,2,,True,True,False
149,149,Jiří Kratochvíl,M,2020-06-27,3,64,2000,1.28,1,,True,True,False
150,150,Jiří Kadlec,M,2020-11-28,2,-90,1000,0.0,3,,True,False,False
151,151,Jiří Kříž,M,2019-09-12,3,-13,2000,0.0,0,,True,True,False
152,152,Jiří Horváth,M,2017-09-04,5,-5,2080,0.0,0,,True,True,False
153,153,Jiří Polák,M,2020-02-11,3,201,2000,4.0200000000000005,1,,True,True,False
154,154,Jiří Janda,M,2021-01-11,2,231,0,4.62,3,,False,False,True
155,155,Jiří Dušek,M,2019-01-08,4,234,2040,4.68,2,,True,True,False
156,156,Jiří Macháček,M,2016-06-22,7,69,2160,1.3800000000000001,1,,True,False,False
157,157,Jiří Navrátil,M,2017-01-02,6,240,2120,4.8,3,2.0,True,True,False
158,158,Jiří Staněk,M,2018-02-26,5,185,2080,3.7,3,,True,True,False
159,159,Jiří Pekař,M,2017-11-23,5,-85,2080,0.0,2,,True,True,False
160,160,Martin Novák,M,2017-08-25,6,5,2120,0.1,3,,True,True,False
161,161,Martin Svoboda,M,2019-11-13,3,-75,2000,0.0,0,,True,True,False
162,162,Martin Novotný,M,2017-01-06,6,236,2120,4.72,0,,True,True,False
163,163,Martin Dvořák,M,2020-02-08,3,204,2000,4.08,0,,True,True,False
164,164,Martin Černý,M,2017-11-10,5,-72,2080,0.0,2,,True,True,False
165,165,Martin Procházka,M,2018-06-19,5,72,2080,1.44,2,,True,True,False
166,166,Martin Kovařík,M,2019-12-07,3,-99,2000,0.0,0,,True,True,True
167,167,Martin Veselý,M,2018-01-26,5,216,2080,4.32,1,,True,True,False
168,168,Martin Horák,M,2019-05-24,4,98,2040,1.96,3,,True,True,False
169,169,Martin Němec,M,2020-08-07,3,23,2000,0.46,0,,True,True,False
170,170,Martin Pospíšil,M,2017-05-08,6,114,2120,2.2800000000000002,2,,True,True,False
171,171,Martin Marek,M,2020-05-01,3,121,2000,2.42,1,,True,True,False
172,172,Martin Urban,M,2017-03-13,6,170,2120,3.4,0,,True,True,False
173,173,Martin Soukup,M,2018-02-19,5,192,2080,3.84,0,,True,True,False
174,174,Martin Hájek,M,2019-02-28,4,183,2040,3.66,0,,True,True,False
175,175,Martin Fiala,M,2018-02-17,5,194,2080,3.88,2,,True,True,False
176,176,Martin Král,M,2021-03-24,2,159,0,3.18,1,,True,False,False
177,177,Martin Růžička,M,2020-07-18,3,43,2000,0.86,3,,True,True,False
178,178,Martin Beneš,M,2020-03-24,3,159,2000,3.18,1,,True,True,False
179,179,Martin Bílý,M,2017-08-29,6,1,2120,0.02,0,,True,True,False
180,180,Martin Šimek,M,2017-06-06,6,85,2120,1.7,3,,True,True,False
181,181,Martin Svatoš,M,2018-08-31,4,-1,2040,0.0,0,,True,True,False
182,182,Martin Mareš,M,2020-08-29,3,1,2000,0.02,1,,True,True,False
183,183,Martin Mach,M,2020-02-20,3,192,2000,3.84,2,,True,True,False
184,184,Martin Vávra,M,2018-08-21,5,9,2080,0.18,1,,True,True,False
185,185,Martin Tomáš,M,2019-06-17,4,74,2040,1.48,1,,True,True,False
186,186,Martin Toman,M,2021-03-05,2,178,0,3.56,3,,True,False,False
187,187,Martin Konečný,M,2016-06-08,7,83,2160,1.6600000000000001,3,,True,False,False
188,188,Martin Vlček,M,2020-12-07,2,-99,1000,0.0,3,,True,False,True
189,189,Martin Kratochvíl,M,2019-02-14,4,197,2040,3.94,1,,True,True,False
190,190,Martin Kadlec,M,2018-02-26,5,185,2080,3.7,0,,True,True,False
191,191,Martin Kříž,M,2019-07-21,4,40,2040,0.8,2,2.0,True,True,False
192,192,Martin Horváth,M,2019-11-01,3,-63,2000,0.0,1,,False,True,False
193,193,Martin Polák,M,2021-02-09,2,202,0,4.04,0,,True,False,False
194,194,Martin Janda,M,2020-06-20,3,71,2000,1.42,1,,True,True,False
195,195,Martin Dušek,M,2016-08-13,7,17,2160,0.34,3,,True,False,False
196,196,Martin Macháček,M,2021-03-04,2,179,0,3.58,2,,True,False,False
197,197,Martin Navrátil,M,2018-08-27,5,3,2080,0.06,2,,True,True,False
198,198,Martin Staněk,M,2020-03-12,3,171,2000,3.42,0,,True,True,False
199,199,Martin Pekař,M,2019-09-17,3,-18,2000,0.0,0,,True,True,False
200,200,Michal Novák,M,2021-06-15,2,76,0,1.52,3,,True,False,False
201,201,Michal Svoboda,M,2019-09-30,3,-31,2000,0.0,3,,True,True,False
202,202,Michal Novotný,M,2017-05-10,6,112,2120,2.24,2,,True,True,False
203,203,Michal Dvořák,M,2018-12-06,4,-98,2040,0.0,0,,True,True,False
204,204,Michal Černý,M,2020-06-09,3,82,2000,1.6400000000000001,0,,True,True,False
205,205,Michal Procházka,M,2019-04-05,4,147,2040,2.94,0,,False,True,False
206,206,Michal Kovařík,M,2020-09-10,2,-11,1000,0.0,2,,True,False,False
207,207,Michal Veselý,M,2017-10-24,5,-55,2080,0.0,1,,True,True,False
208,208,Michal Horák,M,2019-01-10,4,232,2040,4.64,1,,True,True,False
209,209,Michal Němec,M,2018-10-08,4,-39,2040,0.0,3,,True,True,False
210,210,Michal Pospíšil,M,2016-09-23,6,-24,2120,0.0,3,,True,True,False
211,211,Michal Marek,M,2018-06-02,5,89,2080,1.78,0,,True,True,False
212,212,Michal Urban,M,2017-05-31,6,91,2120,1.82,1,,True,True,False
213,213,Michal Soukup,M,2019-03-15,4,168,2040,3.36,2,,False,True,False
214,214,Michal Hájek,M,2017-01-01,6,241,2120,4.82,1,,True,True,False
215,215,Michal Fiala,M,2018-09-25,4,-26,2040,0.0,2,,True,True,False
216,216,Michal Král,M,2019-12-01,3,-93,2000,0.0,3,,True,True,False
217,217,Michal Růžička,M,2016-12-03,6,-95,2120,0.0,1,,True,True,False
218,218,Michal Beneš,M,2019-12-16,3,-108,2000,0.0,1,,True,True,False
219,219,Michal Bílý,M,2018-08-11,5,19,2080,0.38,2,,True,True,False
220,220,Michal Šimek,M,2018-06-14,5,77,2080,1.54,3,,True,True,False
221,221,Michal Svatoš,M,2020-07-15,3,46,2000,0.92,3,,True,True,False
222,222,Michal Mareš,M,2018-08-29,5,1,2080,0.02,0,,True,True,False
223,223,Michal Mach,M,2018-11-04,4,-66,2040,0.0,0,,True,True,True
224,224,Michal Vávra,M,2018-04-09,5,143,2080,2.86,3,,True,True,False
225,225,Michal Tomáš,M,2021-07-05,2,56,0,1.12,0,,True,False,False
226,226,Michal Toman,M,2018-10-09,4,-40,2040,0.0,3,3.0,True,True,False
227,227,Michal Konečný,M,2017-03-04,6,179,2120,3.58,0,,True,True,False
228,228,Michal Vlček,M,2018-11-29,4,-91,2040,0.0,0,,True,True,False
229,229,Michal Kratochvíl,M,2017-10-15,5,-46,2080,0.0,1,,True,True,False
230,230,Michal Kadlec,M,2021-04-18,2,134,0,2.68,3,,True,False,False
231,231,Michal Kříž,M,2019-05-06,4,116,2040,2.32,3,,True,True,False
232,232,Michal Horváth,M,2020-02-26,3,186,2000,3.72,1,,True,True,False
233,233,Michal Polák,M,2019-01-04,4,238,2040,4.76,3,,True,True,False
234,234,Michal Janda,M,2020-12-13,2,-105,1000,0.0,2,,False,False,False
235,235,Michal Dušek,M,2019-03-26,4,157,2040,3.14,3,,True,True,False
236,236,Michal Macháček,M,2018-09-20,4,-21,2040,0.0,2,,False,True,False
237,237,Michal Navrátil,M,2021-01-20,2,222,0,4.44,1,,True,False,False
238,238,Michal Staněk,M,2019-04-24,4,128,2040,2.56,0,,True,True,False
239,239,Michal Pekař,M,2016-06-23,7,68,2160,1.36,2,,True,False,False
240,240,Pavel Novák,M,2020-12-08,2,-100,1000,0.0,0,1.0,True,False,False
241,241,Pavel Svoboda,M,2020-07-29,3,32,2000,0.64,1,,True,True,False
242,242,Pavel Novotný,M,2020-05-22,3,100,2000,2.0,0,3.0,True,True,False
243,243,Pavel Dvořák,M,2020-01-27,3,216,2000,4.32,2,,True,True,False
244,244,Pavel Černý,M,2017-08-10,6,20,2120,0.4,2,1.0,True,True,False
245,245,Pavel Procházka,M,2018-03-10,5,173,2080,3.46,3,,True,True,False
246,246,Pavel Kovařík,M,2021-01-28,2,214,0,4.28,3,,True,False,False
247,247,Pavel Veselý,M,2017-07-26,6,35,2120,0.7000000000000001,0,,True,True,False
248,248,Pavel Horák,M,2016-11-20,6,-82,2120,0.0,2,,True,True,False
249,249,Pavel Němec,M,2017-08-22,6,8,2120,0.16,1,,True,True,False
250,250,Pavel Pospíšil,M,2017-09-24,5,-25,2080,0.0,3,,True,True,False
251,251,Pavel Marek,M,2021-07-14,2,47,0,0.9400000000000001,3,,True,False,False
252,252,Pavel Urban,M,2018-02-11,5,200,2080,4.0,3,3.0,True,True,False
253,253,Pavel Soukup,M,2018-03-18,5,165,2080,3.3000000000000003,1,,True,True,True
254,254,Pavel Hájek,M,2018-08-24,5,6,2080,0.12,1,,True,True,False
255,255,Pavel Fiala,M,2016-10-26,6,-57,2120,0.0,1,,True,True,False
256,256,Pavel Král,M,2018-09-11,4,-12,2040,0.0,1,,True,True,False
257,257,Pavel Růžička,M,2016-11-21,6,-83,2120,0.0,1,,True,True,False
258,258,Pavel Beneš,M,2020-05-11,3,111,2000,2.22,2,,True,True,False
259,259,Pavel Bílý,M,2016-08-08,7,22,2160,0.44,1,,True,False,False
260,260,Pavel Šimek,M,2019-11-23,3,-85,2000,0.0,2,,True,True,False
261,261,Pavel Svatoš,M,2016-09-01,6,-2,2120,0.0,1,,True,True,False
262,262,Pavel Mareš,M,2020-06-10,3,81,2000,1.62,1,,True,True,False
263,263,Pavel Mach,M,2016-09-08,6,-9,2120,0.0,0,,True,True,False
264,264,Pavel Vávra,M,2020-11-29,2,-91,1000,0.0,1,,True,False,False
265,265,Pavel Tomáš,M,2020-12-02,2,-94,1000,0.0,0,,True,False,False
266,266,Pavel Toman,M,2020-03-17,3,166,2000,3.3200000000000003,3,,True,True,False
267,267,Pavel Konečný,M,2021-02-13,2,198,0,3.96,3,,True,False,True
268,268,Pavel Vlček,M,2016-12-30,6,-122,2120,0.0,3,,True,True,False
269,269,Pavel Kratochvíl,M,2018-08-14,5,16,2080,0.32,1,,True,True,False
270,270,Pavel Kadlec,M,2020-07-16,3,45,2000,0.9,3,,True,True,False
271,271,Pavel Kříž,M,2018-02-21,5,190,2080,3.8000000000000003,0,,True,True,False
272,272,Pavel Horváth,M,2021-02-15,2,196,0,3.92,1,,True,False,False
273,273,Pavel Polák,M,2018-06-20,5,71,2080,1.42,2,,True,True,False
274,274,Pavel Janda,M,2016-07-21,7,40,2160,0.8,2,1.0,True,False,False
275,275,Pavel Dušek,M,2017-09-17,5,-18,2080,0.0,2,,True,True,False
276,276,Pavel Macháček,M,2018-11-05,4,-67,2040,0.0,1,,True,True,False
277,277,Pavel Navrátil,M,2017-02-28,6,183,2120,3.66,0,,True,True,False
278,278,Pavel Staněk,M,2018-12-17,4,-109,2040,0.0,0,,True,True,False
279,279,Pavel Pekař,M,2021-07-12,2,49,0,0.98,0,,True,False,False
280,280,Lukáš Novák,M,2017-05-23,6,99,2120,1.98,3,,True,True,True
281,281,Lukáš Svoboda,M,2020-11-03,2,-65,1000,0.0,1,,True,False,False
282,282,Lukáš Novotný,M,2020-08-18,3,12,2000,0.24,0,,True,True,False
283,283,Lukáš Dvořák,M,2020-07-09,3,52,2000,1.04,1,,True,True,False
284,284,Lukáš Černý,M,2016-12-14,6,-106,2120,0.0,1,,True,True,False
285,285,Lukáš Procházka,M,2020-01-29,3,214,2000,4.28,0,,True,True,False
286,286,Lukáš Kovařík,M,2018-05-31,5,91,2080,1.82,0,,True,True,False
287,287,Lukáš Veselý,M,2020-11-28,2,-90,1000,0.0,3,,True,False,False
288,288,Lukáš Horák,M,2021-03-25,2,158,0,3.16,0,,True,False,False
289,289,Lukáš Němec,M,2019-10-31,3,-62,2000,0.0,3,,True,True,False
290,290,Lukáš Pospíšil,M,2019-01-17,4,225,2040,4.5,3,,True,True,False
291,291,Lukáš Marek,M,2018-10-10,4,-41,2040,0.0,2,,True,True,False
292,292,Lukáš Urban,M,2019-04-03,4,149,2040,2.98,1,,True,True,False
293,293,Lukáš Soukup,M,2018-04-18,5,134,2080,2.68,2,,True,True,False
294,294,Lukáš Hájek,M,2021-08-03,2,27,0,0.54,0,,True,False,False
295,295,Lukáš Fiala,M,2016-12-05,6,-97,2120,0.0,1,,True,True,False
296,296,Lukáš Král,M,2020-08-24,3,6,2000,0.12,3,,True,True,False
297,297,Lukáš Růžička,M,2019-02-13,4,198,2040,3.96,2,,True,True,True
298,298,Lukáš Beneš,M,2017-07-08,6,53,2120,1.06,2,,True,True,False
299,299,Lukáš Bílý,M,2019-05-23,4,99,2040,1.98,1,,True,True,True
300,300,Lukáš Šimek,M,2018-04-10,5,142,2080,2.84,1,,True,True,False
301,301,Lukáš Svatoš,M,2021-02-17,2,194,0,3.88,0,,True,False,False
302,302,Lukáš Mareš,M,2019-11-07,3,-69,2000,0.0,0,,True,True,False
303,303,Lukáš Mach,M,2017-03-03,6,180,2120,3.6,3,3.0,True,True,False
304,304,Lukáš Vávra,M,2018-04-21,5,131,2080,2.62,1,,True,True,False
305,305,Lukáš Tomáš,M,2018-11-02,4,-64,2040,0.0,2,,True,True,False
306,306,Lukáš Toman,M,2017-02-24,6,187,2120,3.74,2,,True,True,False
307,307,Lukáš Konečný,M,2020-02-05,3,207,2000,4.14,0,,True,True,False
308,308,Lukáš Vlček,M,2017-06-28,6,63,2120,1.26,1,,False,True,False
309,309,Lukáš Kratochvíl,M,2017-02-04,6,207,2120,4.14,3,,True,True,False
310,310,Lukáš Kadlec,M,2020-12-01,2,-93,1000,0.0,2,,True,False,False
311,311,Lukáš Kříž,M,2016-09-24,6,-25,2120,0.0,2,,True,True,False
312,312,Lukáš Horváth,M,2017-05-12,6,110,2120,2.2,3,,True,True,False
313,313,Lukáš Polák,M,2017-05-16,6,106,2120,2.12,1,,True,True,False
314,314,Lukáš Janda,M,2019-05-23,4,99,2040,1.98,1,,True,True,True
315,315,Lukáš Dušek,M,2017-08-12,6,18,2120,0.36,1,,True,True,False
316,316,Lukáš Macháček,M,2021-04-08,2,144,0,2.88,2,,True,False,False
317,317,Lukáš Navrátil,M,2019-12-22,3,-114,2000,0.0,3,,True,True,False
318,318,Lukáš Staněk,M,2021-02-05,2,206,0,4.12,0,,True,False,False
319,319,Lukáš Pekař,M,2016-09-07,6,-8,2120,0.0,2,,True,True,False
320,320,David Novák,M,2018-01-30,5,212,2080,4.24,0,,True,True,False
321,321,David Svoboda,M,2020-05-12,3,110,2000,2.2,2,,True,True,False
322,322,David Novotný,M,2017-12-05,5,-97,2080,0.0,2,,True,True,False
323,323,David Dvořák,M,2019-10-09,3,-40,2000,0.0,1,3.0,True,True,False
324,324,David Černý,M,2019-05-22,4,100,2040,2.0,1,3.0,True,True,False
